Blackwood
Place,Boss/Quest,Set,Item Name,Description
Arpenia,Glittering Lies,Bog Raider,Glittering Belt of Tribute,"A fortified belt covered with strange jewels and gems, given to you by the Duke of Crows for assisting the Blackfeather Court in Blackwood."
Blackwood,The Pirate's Gift,Frostbite,Captain Voldar's Hammer,"Buried for who knows how long, the pirate captain's hammer still looks to be in perfect condition."
Tome of Shadow,Frostbite,Nisswo Prayer Boots,Light foot coverings used by Argonian priests and recovered from the ruins of Xi-Tsei.
Bloodrun Cave,Destroying What Remains,Deadlands Assassin,Decayed Shadowscale Tunic,"Once worn by the fabled Shadowscales, this tunic shows its wear and age from the many years it sat within Bloodrun Cave."
Borderwatch,A Keep's Ransom,Deadlands Assassin,Borderwatch Brigadine Commander's Helm,The helm traditionally worn by commanders of the Ivory Brigade brigadines assigned to the Borderwatch Garrison.
Castle Giovesse,The Ghostwriter of Giovesse,Bog Raider,Scion of Giovesse Breastplate,A chestpiece once worn by the Scion of Giovesse and presented to you for your efforts exploring the haunted Castle Giovesse.
Doomvault Porcixid,A Battle of Silk and Flame,Bog Raider,Warped Oblivion Leggings,A pair of sturdy leggings molded in the realms of Oblivion and discovered in the Doomvault Porcixid.
Farmer's Nook,The Face of Change,Deadlands Assassin,Reveries Juggler's Blade,"A gift from the House of Reveries, this well-balanced blade is ideal for juggling, as well as for more violent acts."
Fort Redmane,Pyre of Ambition,Bog Raider,Pauldrons of the Ivory Brigade,A heavily reinforced set of shoulder armor masterly crafted by the best smiths in Leyawiin for the Ivory Brigade militia.
Gideon,A Hidden Vault,Frostbite,Light of the Twin Ambitions,"A beautifully carved staff found within the Doomvault Capraxus, where you encountered the twin Ambitions."
A Mysterious Event,Deadlands Assassin,Percius Loche's Keepsake,"Although the outfit that Percius Loche made for you was destroyed in the Deadlands, this necklace managed to survive the ordeal. Dinged but still as beautiful as ever."
Weapons of Destruction,Deadlands Assassin,Xynaa's Storm,A staff crackling with energy found within Xynaa's chambers in the Deadlands.
Heroes of Blackwood,Bog Raider,Black Fin Ceremonial Battle Maul,"Awarded to only the highest-ranking members of Keshu's Black Fin Legion, this large hammer is both ceremonial and functional as a weapon."
Haunted Legacy,Frostbite,Faric's Finest Staff of Frigidity,A special staff made by Faric of Bravil and presented to you for helping him reveal the truth of his family.
Love Among the Fire,Frostbite,Black Fin Fire Hat,A light helm awarded for helping members of the Black Fin Legion with a private and urgent matter.
Glenbridge,An Abundance of Stibbons,Frostbite,Stibbons's Slime-Covered Spaulders,"A set of light shoulder armor found in the depths of the Glenbridge Xanmeer while helping save Lady Laurent's manservant, Stibbons, from a sorcerous voriplasm."
Hutan-Tzel,Shadows in the Swamp,Frostbite,Heem-Jas's Heroic Breeches,A set of light leggings common to the Argonians of Hutan-Tzel and presented to you by Heem-Jas for helping solve their Imperial problem.
Leyawiin,A Deadly Secret,Bog Raider,Armored Gauntlets of the Ivory Brigade,A pair of armored gauntlets engraved with Leyawiin's crest for use by the Ivory Brigade militia.
An Unexpected Adversary,Deadlands Assassin,Waking Flame's Bow of Rebellion,"Once wielded by a Waking Flame cultist, this bow represents the Dagonist belief in violent rebellion and destructive change."
Hope Springs EternalThe Deadlands,Kynmarcher's Cruelty,Crown of the Dagon-Breaker,"Rewarded for saving Nirn from the Daedric Prince, Mehrunes Dagon."
Dog Days,Frostbite,Aloysius's Empty Gold Belt,A cloth belt used to hold coins of various types presented to you by Tertia Falto. It's empty. Very empty.
Making a Racket,Deadlands Assassin,Fang-Furl Contraband Boots,"One of several contraband items smuggled by the Fang-Furl gang into Blackwood, these boots fell into your possession while helping the Happy Averno Shipping Company."
Vinnus's Research,Bog Raider,Fighters Guild Hard Helm,A heavy helmet awarded for bringing news of a member's death and their research to the Fighters Guild.
Shrine to Nocturnal,Shrine of Nocturnal,Deadlands Assassin,Epaulets of Shadow,"Shoulder armor with the distinct aura of Nocturnal, the Daedric Prince of Shadow."
The Silent Halls,Harrada Harvest,Deadlands Assassin,Adrahawn's Vine-Slicer,"An axe coated with a unique concoction, making its blade corrosive to organic material. Although originally intended for cutting through thick vines, it works fine against plants, minerals, and animals."
Stonewastes,The Rising Winds,Bog Raider,Bulwark of the Four Winds,"This shield symbolized the steadfast protective nature of the legendary Argonian defenders, the Four Winds."
Undertow Cavern,Relics and Rumblings,Deadlands Assassin,Minotaur's Meat Cleaver,"Crudely made but sharp enough to separate any enemy's head from their shoulders, this greataxe was a reward for your efforts in Undertow Cavern."
Veyond,Giving Up the Ghost,Frostbite,House Tirethi Signet Band,"A ring worn by members of the prestigious Dunmeri House, Terithi, received for your assistance at the ruins of Veyond."
Vunalk,In Need of a Bath,Deadlands Assassin,Leather Hog Scrubbers,A set of thick leather gloves used to bathe hogs while also offering good protection. Given to you by Hokatsei for aiding her brother in the ruins of Vunalk.
Xi-Tsei,Idol Threats,Bog Raider,Sul-Xan's Sacred Skean,"Made from stone but polished to the sharpness of fine steel, this dagger has dispatched many victims in the Xi-Tsei xanmeer."
Zenithar's Abbey,The Golden Anvil,Frostbite,Band of Zenithar,"Engraved with a symbol of an anvil, this ring signifies its bearer as one who has accomplished great toil in Zenithar's name."
