Activity,Description,Activity Reward
Craft 10 Items with any Skill,Craft items using any skill. Crafting stations can be found in most major cities.,File:ON-icon-misc-Writ_Voucher.png 5 Writ Vouchers
Craft 50 Items with any Skill,Craft items using any skill. Crafting stations can be found in most major cities.,File:ON-icon-misc-Writ_Voucher.png 10 Writ Vouchers
Craft 100 Items with any Skill,Craft items using any skill. Crafting stations can be found in most major cities.,File:ON-icon-misc-Writ_Voucher.png 15 Writ Vouchers
Craft 500 Items with any Skill,Craft items using any skill. Crafting stations can be found in most major cities.,File:ON-icon-misc-Writ_Voucher.png 20 Writ Vouchers
Complete 10 Crafting Quests,"You can earn your crafting writ certification to qualify and then get to fulfilling writs today! Open the map, and look for the marketplace in most major cities across Tamriel. You'll find the crafting job boards nearby!"
Craft 25 Items inside your home,Craft items using any skill while in a Home that you own. Crafting stations can be placed in a Home as a furnishing
Complete 5 Consumables Master Writs,"Complete Master Writ quests for consumables goods like drinks, foods, glyphs, or potions."
Complete 5 Durables Master Writs,"Complete Master Writ quests for durable goods like weapons, armor and jewelry."
Refine Raw Materials 20 Times,Refine raw materials at their associated crafting station. Crafting stations can be found in most major cities.
Improve 10 Item/Items,Improve Items.,File:ON-icon-misc-Writ_Voucher.png 5 Writ Vouchers
Complete 1 Survey Report,Complete Survey Reports by following them and harvesting their rich resources.,File:ON-icon-misc-Writ_Voucher.png 5 Writ Vouchers
Craft 100 items with the Alchemy skill,Craft items using the Alchemy skill. Alchemy stations can be found in most major cities.
Craft 15 items with the Blacksmithing skill,Craft items using the Blacksmithing skill. Blacksmithing stations can be found in most major cities.
Craft 15 items with the Clothier skill,Craft items using the Clothier skill. Clothier stations can be found in most major cities.
Craft 15 items with the Enchanting skill,Craft items using the Enchanting skill. Enchanting stations can be found in most major cities.
Craft 15 items with the Jewelry Crafting skill,Craft items using the Jewelry Crafting skill. Jewelry Crafting stations can be found in most major cities.
Craft 50 items with the Provisioning skill,Craft items using the Provisioning skill. Provisioning stations can be found in most major cities.
Craft 15 items with the Woodworking skill,Craft items using the Woodworking skill. Woodworking stations can be found in most major cities.
Deconstruct or Research 200 Pieces of Equipment,You can do all kinds of things with old or unwanted gear. Head to a crafting station to deconstructed (sic) unwanted items for their resources. Or use the research window to learn how to craft furutre pieces using the attributes of the gear you already have.,File:ON-icon-misc-Writ_Voucher.png 10 Writ Vouchers
Deconstruct 25 Items at a Jewelry Crafting Table,Deconstruct items using the Jewelry Crafting skill. Jewelry Crafting stations can be found in most major cities. Learn this delicate are through the Summerset Chapter.,File:ON-icon-misc-Writ_Voucher.png 5 Writ Vouchers
Deconstruct 25 Items at a Woodworking table,Deconstruct items using the Woodworking skill. Woodworking stations can be found in most major cities.
Extract 50 Items at an Enchanting table,Extract items using the Enchanting skill. Enchanting stations can be found in most major cities.
Deconstruct 50 Items at a Clothier table,Deconstruct items using the Clothier skill. Clothier stations can be found in most major cities.
Deconstruct 50 Items at a Blacksmithing table,Deconstruct items using the Blacksmithing skill. Blacksmithing stations can be found in most major cities.
Harvest 250 Resources from the World,"Harvest crafting resources from plants, ore, veins, or any other natural deposit.",File:ON-icon-misc-Writ_Voucher.png 5 Writ Vouchers
Cut 50 Logs of Wood,Collect Woodworking resources from logs of wood.
Mine 20 Jewel Seams,Mine Jewelry Crafting resources from seams of jewel-producing ores. Learn this delicate art through the Summerset Chapter.
Collect Runestones from 50 Nodes,Collect Enchanting resources from the specified number of runestone nodes.
Collect 50 Cloth-Producing Plants,Collect Clothier resources from cloth-producing plants.
Mine 50 Veins of Ore,Mine Blacksmithing resources from ore veins.
Collect 10 Pure Water Springs or Alchemical Plants,"Collect Alchemical resources like plants, mushrooms, and water."
Enchant 1 Piece of Equipment,Place new enchantments on pieces of equipment.,File:ON-icon-misc-Writ_Voucher.png 5 Writ Vouchers
Craft 1 Armor of the Seducer Item,"Craft items from the Armor of the Seducer Item Set. You can find the relevant item set crafting location in Deshaan, Grahtwood, or Stormhaven."
Craft 1 Night Mother's Gaze Item,"Craft items from the Night Mother's Gaze Item Set. You can find the relevant item set crafting location in Bangkorai, Reaper's March, or The Rift."
Craft 1 Hunding's Rage Item,"Craft items from the Hunding's Rage Item Set. You can find the relevant item set crafting location in Bangkorai, Reaper's March, or The Rift."
Craft 1 Twilight's Embrace Item,"Craft items from the Twilight's Embrace Item Set. You can find the relevant item set crafting location in Deshaan, Grahtwood, or Stormhaven."
Craft 1 Ashen Grip Item,"Craft items from the Ashen Grip Item Set. You can find the relevant item set crafting location in Auridon, Glenumbra, or Stonefalls."
Craft 1 Death's Wind Item,"Craft items from the Death's Wind Item Set. You can find the relevant item set crafting location in Auridon, Glenumbra, or Stonefalls."
Craft 1 Torug's Pact Item,"Craft items from the Torug's Pact Item Set. You can find the relevant item set crafting location in Deshaan, Grahtwood, or Stormhaven."
