Alessia,"ESO Alliances|Dominion=""""","Covenant=""Grand Warlord Dortene wants Alessia Farm taken from the enemy. Attack, warriors! - Scribe Grulzul""","Pact=""We need the farm at Castle Alessia to help feed our troops. Grand Warlord Zimmeron calls for attackers! - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""""","Covenant=""Our foes produce siege engines far too quickly. Much of the wood for these weapons comes from Alessia Lumbermill. Warriors are needed to capture it for the Covenant. - Scribe Grulzul""","Pact=""Our foes' siege engines depend on wood from Alessia Lumbermill. Warriors are needed to capture it for the Pact. - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""""","Covenant=""By order of Grand Warlord Dortene, Alessia Mine must be captured! - Scribe Grulzul""","Pact=""Grand Warlord Zimmeron wants Alessia Mine captured. Answer the call, warriors! - Scribe Dreet-Wulm"""
Resource,Farm,Lumbermill,Mine
Black Boot,"ESO Alliances|Dominion=""""","Covenant=""Black Boot Farm must no longer feed our foes. Join the assault, warriors of the Covenant! - General Am-Shadal""","Pact=""Black Boot Farm must no longer feed our foes. Join the assault, warriors of the Pact! - General Jeggord""","ESO Alliances|Dominion=""New orders, warriors. The enemy uses wood from Black Boot Lumbermill to build their siege engines. We need to take this from them. Answer the Dominion's call! - General Atahba""","Covenant=""Grand Warlord Dortene commands that Black Boot Lumbermill be taken from our foes. Warriors-answer the call! - General Am-Shadal""","Pact=""Black Boot Lumbermill has been chosen as our latest target by Grand Warlord Zimmeron. Pact Warriors-it must be taken! - General Jeggord""","ESO Alliances|Dominion=""""","Covenant=""Stone quarried in the mine at Castle Black Boot reinforces our enemies' strongholds. This must end. Covenant warriors are urged to gather in an assault on this mine! - General Am-Shadal""","Pact=""Stone from Black Boot Mine strengthens our foes' keeps. Warriors are needed to take this resource from them. - General Jeggord"""
Bloodmayne,"ESO Alliances|Dominion=""""","Covenant=""For too long, the farm at Castle Bloodmayne has fed our enemies. Grand Warlord Dortene calls for this farm to be overwhelmed! - Scribe Grulzul""","Pact=""Grand Warlord Zimmeron believes the farm at Castle Bloodmayne is poorly defended. He wants this taken from the enemy. - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""""","Covenant=""The enemy's lumbermill at Castle Bloodmayne must be overrun. All warriors are needed! - Scribe Grulzul""","Pact=""The lumbermill at Castle Bloodmayne must be taken from our enemies, by Grand Warlord Zimmeron's decree. All warriors are needed! - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""""","Covenant=""We need stone to strengthen our forts. Grand Warlord Dortene believes the mine at Castle Bloodmayne is vulnerable. An attack is ordered immediately! - Scribe Grulzul""","Pact=""We need stone to strengthen our keeps. The mine at Castle Bloodmayne is vulnerable. Take it for the Pact! - Scribe-Dreet-Wulm"""
Brindle,"ESO Alliances|Dominion=""""","Covenant=""""","Pact=""We need the farm at Castle Brindle to help feed our troops. Grand Warlord Zimmeron calls for attackers! - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""""","Covenant=""Our foes produce siege engines far too quickly. Much of the wood for these weapons comes from Brindle Lumbermill. Warriors are needed to capture it for the Covenant. - Scribe Grulzul""","Pact=""Our foes' siege engines depend on wood from Brindle Lumbermill. Warriors are needed to capture it for the Pact. - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""""","Covenant=""By order of Grand Warlord Dortene, Brindle Mine must be captured! - Scribe Grulzul""","Pact=""Grand Warlord Zimmeron wants Brindle Mine captured. Answer the call, warriors! - Scribe Dreet-Wulm"""
Faregyl,"ESO Alliances|Dominion=""""","Covenant=""Faregyl Farm must no longer feed our foes. Join the assault, warriors of the Covenant! - General Am-Shadal""","Pact=""Faregyl Farm must no longer support our foes. Join the assault, warriors of the Pact! - General Jeggord""","ESO Alliances|Dominion=""New orders, warriors. The enemy uses wood from Faregyl Lumbermill to build their siege engines. We need to take this from them. Answer the Dominion's call! - General Atahba""","Covenant=""Grand Warlord Dortene commands that Faregyl Lumbermill be taken from our foes. Warriors-answer the call! - General Am-Shadal""","Pact=""Faregyl Lumbermill has been chosen as our latest target by Grand Warlord Zimmeron. Pact Warriors-it must be taken! - General Jeggord""","ESO Alliances|Dominion=""""","Covenant=""Stone quarried in the mine at Castle Faregyl reinforces our enemies' strongholds. This must end. Covenant warriors are urged to gather in an assault on this mine! - General Am-Shadal""","Pact=""Stone from Faregyl Mine strengthens our foes' keeps. Warriors are needed to take this resource from them. - General Jeggord"""
Roebeck,"ESO Alliances|Dominion=""""","Covenant=""""","Pact=""""","ESO Alliances|Dominion=""""","Covenant=""The enemy's lumbermill at Castle Roebeck must be overrun. All warriors are needed! - Scribe Grulzul""","Pact=""The lumbermill at Castle Roebeck must be taken from our enemies, by Grand Warlord Zimmeron's decree. All warriors are needed! - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""""","Covenant=""Grand Warlord Sorcalin wants the mine at Castle Roebeck. We need its stone to help fortify our castles. Warriors are needed immediately! - Scribe Fireluin""","Pact=""We need stone to strengthen our keeps. The mine at Castle Roebeck is vulnerable. Take it for the Pact! - Scribe-Dreet-Wulm"""
""
Aleswell,"ESO Alliances|Dominion=""The bounty of Aleswell Farm has fed our foes for too long. All warriors are urged to join in attacking this enemy settlement. - General Atahba""","Covenant=""""","Pact=""Aleswell Farm must no longer support our foes! Join the assault, warriors of the Pact! - General Jeggord""","ESO Alliances|Dominion=""New orders, warriors. The enemy uses wood from Aleswell Lumbermill to build their siege engines. We need to take this from them. Answer the Dominion's call! - General Atahba""","Covenant=""""","Pact=""Aleswell Lumbermill has been chosen as our latest target by Grand Warlord Zimmeron. Pact warriors - it must be taken! - General Jeggord""","ESO Alliances|Dominion=""""","Covenant=""""","Pact=""Stone from Aleswell Mine strengthens our foes' keeps. Warriors are needed to take this resource from them. - General Jeggord"""
Ash,"ESO Alliances|Dominion=""""","Covenant=""""","Pact=""We need the farm at Fort Ash to help feed our troops. Grand Warlord Zimmeron calls for attackers! - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""""","Covenant=""Our foes produce siege engines far too quickly. Much of the wood for these weapons comes from Ash Lumbermill. Warriors are needed to capture it for the Covenant. - Scribe Grulzul""","Pact=""Our foes' siege engines depend on wood from Ash Lumbermill. Warriors are needed to capture it for the Pact. - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""""","Covenant=""""","Pact=""Grand Warlord Zimmeron wants Ash Mine captured. Answer the call, warriors! - Scribe Dreet-Wulm"""
Dragonclaw,"ESO Alliances|Dominion=""""","Covenant=""For too long, the farm at Fort Dragonclaw has fed our enemies. Grand Warlord Dortene calls for this farm to be overwhelmed! - Scribe Grulzul""","Pact=""Grand Wardlord Zimmeron believes the farm at Fort Dragonclaw is poorly defended. He wants this taken from the enemy. - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""""","Covenant=""""","Pact=""The lumbermill at Fort Dragonclaw must be taken from our enemies, by Grand Warlord Zimmeron's decree. All warriors are needed! - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""""","Covenant=""""","Pact="""""
Glademist,"ESO Alliances|Dominion=""Grand Warlord Sorcalin believes the enemy farm at Glademist is vulnerable. An attack is ordered immediately. - Scribe Fireluin""","Covenant=""""","Pact=""Grand Wardlord Zimmeron believes the farm at Fort Glademist is poorly defended. He wants this taken from the enemy. - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""Grand Warlord Sorcalin wants the enemy lumbermill at Glademist attacked. All warriors are urged to participate. - Scribe Fireluin""","Covenant=""""","Pact=""The lumbermill at Glademist must be taken from our enemies, by Grand Warlord Zimmeron's decree. All warriors are needed! - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""Grand Warlord Sorcalin wants the mine at Fort Glademist. We need its stone to help fortify our castles. Warriors are needed immediately! - Scribe Fireluin""","Covenant=""""","Pact="""""
Rayles,"ESO Alliances|Dominion=""The bounty of Rayles Farm has fed our foes for too long. All warriors are urged to join in attacking this enemy settlement. - General Atahba""","Covenant=""""","Pact=""Rayles Farm must no longer support our foes. Join the assault, warriors of the Pact! - General Jeggord""","ESO Alliances|Dominion=""New orders, warriors. The enemy uses wood from Rayles Lumbermill to build their siege engines. We need to take this from them. Answer the Dominion's call! - General Atahba""","Covenant=""""","Pact=""Rayles Lumbermill has been chose as our latest target by Grand Warlord Zimmeron. Pact warriors - It must be taken! - General Jeggord""","ESO Alliances|Dominion=""The mine at Fort Rayles must be ours, warriors. Gather in a large pack and swarm over the enemy defenders. - General Atahba""","Covenant=""""","Pact=""Stone from Rayles Mine strengthens our foes' keeps. Warriors are needed to take this resource from them. - General Jeggord"""
Warden,"ESO Alliances|Dominion=""""","Covenant=""""","Pact=""We need the farm at Fort Warden to help feed our troops. Grand Warlord Zimmeron calls for attackers! - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""""","Covenant=""""","Pact=""Our foes' siege engines depend on wood from Warden Lumbermill. Warriors are needed to capture it for the Pact. - Scribe Dreet-Wulm""","ESO Alliances|Dominion=""Stone from the mine near Fort Warden is helping the enemy strengthen their castle walls. Orders from Grand Warlord Sorcalin are to capture this mine for the Dominion. - Scribe Fireluin""","Covenant=""""","Pact=""Grand Warlord Zimmeron wants Warden Mine captured. Answer the call, warriors! - Scribe Dreet-Wulm"""
""
