Place,Boss/Quest,Set,Item Name,Description
High Isle
Amenos,The Long Game,Steadfast's Mettle,Valentyn's Chisel,"Valentyn Dantaine never goes anywhere without his trusty chisel. Nevertheless, he gave it to you for helping him on Amenos."
All Flags Castle,The Ascendant Storm,Blessing of High Isle,Inferno Staff of the Ascendant Magus,"The Ascendant Magus's personal spellstaff, it still carries a resonant shadow of his zealous power."
"And Now, Perhaps, PeaceFiresong",Back-Alley Gourmand,Sower's Sorrow Healing Staff,"A staff, grown by Frii, still infused and humming with a hint of their power."
All Flags Islet,The All Flags Curse,Systres' Scowl,Ring of the Ancient Mariner,A ring given by a sea captain lost during the events of the All Flags Navy to their heart-broken beloved.
Augury Monoliths,Wisdom of the Druids,Systres' Scowl,Steadfast Healer's Gloves,"This druidic staff exudes a chilling aura, capable of calming the fiery eruptions of High Isle."
Breakwater Cave,A Sheep in Need,Blessing of High Isle,Shepherd's Blade,"A salt-stained blade from High Isle, most likely used to defend the lives of a beloved flock."
Brokerock Mine,A Father's Pride,Blessing of High Isle,Ring of Resonance,A simple ring decorated with a shard of a resonance crystal taken from Brokerock Mine.
Coral Cliffs,Coral Conundrum,Steadfast's Mettle,Coral-Smasher,"A rough, heavy mining tool, turned into a weapon by hostile druids on Amenos."
Death's Valor Keep,In Secret and Shadow,Blessing of High Isle,Valorous Pauldrons,"Ancient armor, smelling faintly of rot, found abandoned in the graveyard at Death's Valor Keep."
Dufort Shipyards,Balki's Map Fragment,Blessing of High Isle,Map-Hunter's Leggings,"A gift from the captain in memory of the late Khajiiti map hunter, Balki."
Ferone's Map Fragment,Steadfast's Mettle,Map-Hunter's Forest Boots,"A gift from a Dufort captain in memory of the late map hunter, Ferone."
The Long Way Home,Blessing of High Isle,Eshmadin's Thanks,A precious amulet passed along in gratitude for your assistance in searching out a lost treasure.
Rhadh's Map Fragment,Systres' Scowl,Map-Hunter's Curved Blade,"A gift from a Dufort captain in memory of the late map hunter, Online:Rhadh|."
The Firepot,Scalding Scavengers,Systres' Scowl,Vulk'esh Stomper Sabatons,"Heavy boots, ideal for magma-hot environments and vulk'esh hunting expeditions."
Garick's Rest,Race for Honor,Systres' Scowl,Cynric's Heavy Shield,"An ancient shield once wielded by the honorable Sir Cynric, guardian of Garick's Rest."
Ghost Haven Bay,Buried at the Bay,Blessing of High Isle,Maul's Ancestral Edge,A blade that has been in Ilyes Maul's family for a long time. It was probably used by the ancient pirates of Ghost Haven Bay.
Gonfalon Bay,Of Knights and Knaves,Steadfast's Mettle,Quentyn's Cleaver,"A powerful axe, once wielded by a Fighters Guild comrade turned traitor."
People of Import,Steadfast's Mettle,Islander Boots,"Well-worn, comfortable boots made to tread the rocky coastlines of High Isle."
Deadly Investigations,Blessing of High Isle,Islander's Shawl,A sun-beaten mantle commonly worn across High Isle.
Escape from Amenos,Systres' Scowl,Deesh-Jee's Hunting Bow,A weapon once owned by the vile leader of the Green Serpent gang on Amenos.
To Catch a Magus,Systres' Scowl,Ascendant Helm,"Armor used by the Ascendant Order, designed to protect the wearer's identity as well as their head."
A Chance for Peace,Steadfast's Mettle,Honor of the Steadfast,A medal presented by the Society of the Steadfast in thanks for heroism on High Isle.
The Hidden LordFiresong,Bastion of the Draoife,House Volorus Signet Ring,An ancient and rusted ring pitted with years of neglect. The faded sigil of the largely forgotten noble house Volorus dominates the face.
The Intoxicating Mix,N/A,Genalda's Clever Concoctions,A bag containing a small collection of useful elixirs and potions.
The Large Delegate,Blessing of High Isle,Large Delegate's Chain,"A chain of office made specially for Rigurt the Brash, dedicated cultural ambassador of the Nords."
Shipwreck Shoals,Spies in the Shallows,Systres' Scowl,Serpent's Tongue,"A blade once used by a Sea Elf marauder, quick and deadly in close combat, like a serpent's tongue."
Skulltooth Coast,The Missing Prowler,Steadfast's Mettle,Skulltooth Jacket,Sea Elf armor retrieved during an excursion to the Skulltooth Coast.
Spire of the Crimson Coin,"Blood, Books, and Steel",Steadfast's Mettle,Lich-Crusher Mace,A gore-stained mace found on the grounds of the Spire of the Crimson Coin.
Steadfast Manor,An Experiment with Peace,Blessing of High Isle,Steadfast Healer's Gloves,"Delicate gloves for deft fingers, used by the master healers of the Society of the Steadfast."
Stonelore Grove,The Corrupted Grove,Steadfast's Mettle,Grove-Keeper's Greaves,Sturdy leather armor crafted by the Stonelore Druids as a gift from a grateful circle.
Whalefall,Pursuit of Freedom,Steadfast's Mettle,Seabeast's Ribcage,Worn but well-crafted armor taken from a fallen jailer at Whalefall.
