4Zone,4Settlement,4Store,4Blacksmith
Aldmeri Dominion
Auridon,Skywatch,The Watcher's Forge,Tuzil-dro
Vulkhel Guard,Guard's Forge,Huunel
Grahtwood,Elden Root,Fighters Guild Forge,Ontogu gro-Bashnarz
Greenwarden Forge,Sashawi
Haven,Haven Foundry,Steelclaw [a]
Greenshade,Marbruk,"Steel, Will, and Skill",Kasafia
Woodhearth,Blade and Song,Ingamircil
Khenarthi's Roost,Mistral,Moonfire Forge,Pamaea
Malabal Tor,Velyn Harbor,Smithy of Velyn Harbor,Sarfinaire [a]
Reaper's March,Dune,Waterside Smithy,Lashbesh gra-Shatul [a]
Rawl'kha,The Black Anvil,Threg
Daggerfall Covenant
Alik'r Desert,Kozanset,Anvil-Song Ironworks,Varnas
Sentinel,The Twice-Blessed Temper,Bahrar
Bangkorai,Evermore,Evermore Smithy,Gavric Cadiou
Betnikh,Stonetooth Fortress,Dockside Trading Stalls,Ograt
Stonetooth Smithy,Thakush
Glenumbra,Aldcroft,Aldcroft Anvil & Armor,Evangeline
Crosswych,Iron Mine Arms & Armor,Celiane Laelippe
Daggerfall,Metalworks of Daggerfall,Gard gro-Wroggin
Rivenspire,Shornhelm,Shornhelm Smithy,Huet Bedel
Stormhaven,Wayrest,The High King's Forge,Noah Georence
Stros M'Kai,Port Hunding,Falbert's Forge,Yncien Falbert
Ebonheart Pact
Bal Foyen,Dhalmora,Fit-For-Kings,Thinks-With-Belly
Bleakrock Isle,Bleakrock Village,The Hot Iron,Maesa [b]
Deshaan,Mournhold,Artisans Craftworks,Am-Eepa [c]
Eastmarch,Windhelm,The Anvil & Pauldron,Frikkhild Coldheart
The Rift,Riften,The Ringing Anvil,Hadriss
Shadowfen,Stormhold,Stormhold Forges,Bends-Iron
Stonefalls,Davon's Watch,Avani Bladeworks,Merail Avani
Ebonheart,Ebonheart Unified Metalworks,Badila Avani
Kragenmoor,Fighters Guild,Akethi
Neutral
Clockwork CityClockwork City,Brass Fortress,Hall of Refined Techniques,Varenu Sedarys
Coldharbour,The Hollow City,Cold Iron Forge,Bends-Iron [a]
Craglorn,Belkarth,Waste-Walker's Forge,Thalia
The Earth Forge,Mabgruhl gra-Born [a]
Eyevea,Eyevea's Bright Smithy,Lugolg gro-Goldog [a]
Gold CoastDark Brotherhood,Anvil,Anvil Ironworks and Tannery,Hodana
Hew's BaneThieves Guild,Abah's Landing,The Better Blacksmith,Elurmeril
MurkmireMurkmire,Lilmoth,Peatfire Smithery‎,Shukesh
Northern Elsweyr,Rimmen,The Roaring Forge,Cornelius Congonius
Summerset,Alinor,The Even Temper,Snabazkur
Vvardenfell,Vivec City,Foundation's Bulwark,Stalkun
