Activity,Description,Activity Reward
"Visit Vulkhel Guard, Daggerfall, or Davon's Watch","See what one of these three locations has to offer you! Vulkhel Guard can be found in Auridon, Daggerfall in Glenumbra, and Davon's Watch in Stonefalls.",File:ON-icon-store-Crown Experience Scroll.png Crown Experience Scroll
Consume an XP Boost Scroll,Experience consumables increase the amount of experienced earned for a certain amount of in-game time.,File:ON-icon-store-Crown Experience Scroll.png Crown Experience Scroll
Talk to a Banker,"Banks are located in large cities throughout Tamriel. Open the map, and look for the treasure chest icon. Then just go where the money is!","File:ON-icon-misc-Coin_Bag.png 1,000 Gold"
Kill 1 Delve Boss,Bosses present the most challenging fight within any Delve.,"File:ON-icon-misc-Coin_Bag.png 2,000 Gold"
Acquire 1 New Mundus Stone Boon,Interact with a Mundus Stone and change your Mundus boon.,"File:ON-icon-misc-Coin_Bag.png 1,000 Gold"
Destroy a Dark Anchor or Complete 1 World Event,"Stop the Planemeld! Destroy a Dark Anchor in any of the base game zones by defeating cultists and Daedra, then releasing its anchor pinions. Or complete other types of world events. Any Dark Anchor or world event completion counts as progress in this goal.","File:ON-icon-misc-Coin_Bag.png 2,000 Gold"
Complete Any Mages Guild Quest,"Seek esoteric knowledge with the Mages Guild! You can find their questgivers, or join up, at the guildhalls in most large cities. Return with knowledge and glory to gain skill line progress and valuable rewards!",File:ON-icon-book-Fighters Guild Citation.png Fighters Guild Citation
Complete Any Fighters Guild Quest,"Pitch in to help the Fighters Guild! You can find their questgivers, or join up, at the guildhalls in most large cities. Take the fight to the Worm Cult to gain skill line progress and valuable rewards!",File:ON-icon-book-Mages Guild Citation.png Mages Guild Citation
Reach Level 15,"Earn levels by gaining experience through combat, crafting, and much more.",File:ON-icon-minor adornment-Ring.png 2 Rings of the Trainee
Complete 6 Story Quests,Complete the quests that are part of the main story arcs in each zone.
