Deshaan
Place,Boss/Quest,Set,Item Name,Description
Bthanual,The Light Fantastic,Plague Doctor,Dungeon-Delving Slippers,This heavy footwear awarded for helping Kireth and Raynor Vanos solve the mystery of the Bthanual ruins.
Caravan Crest,Bittergreen the Wild,Mother's Sorrow,Bittergreen's Scale of Mother's Sorrow,"A ring awarded for defeating the giant guar, Bittergreen the Wild."
The Corpse Garden,General Celdien,Plague Doctor,Plague Doctor Celdien's Pauldrons,"For defeating the elite skeleton, General Celdien, in the cave known as the Corpse Garden, this heavy armor was awarded."
Deepcrag Den,You Have to Break a Few,Plague Doctor,Chef's Apron,Mamma Aralosi gave you this heavy cooking belt for reporting her son's fate in Lady Llarel's Shelter.
Search and Rescue,Night Mother's Embrace,Kwama Mining Gloves,"For helping the miner of Deepcrag Den, Boril Drelas gave you these gloves."
Dire Bramblepatch,Sharpfang,Night Mother's Embrace,Sharpfang's Jagged Blade of the Night Mother,"A dagger awarded for defeating the giant troll, Sharpfang."
Druitularg's Ritual Altar,Druitularg,Plague Doctor,Plague Doctor's Dremora's Dread,"An axe awarded for defeating the elite Dremora, Druitularg."
Eidolon's Hollow,The Judgment of Veloth,Night Mother's Embrace,Ordinator Breastplate,Almalexia gave you this breastplate for defeating Magistrix Vox at Eidolon's Hollow.
Forgotten Crypts,A Family Divided,Mother's Sorrow,Forgotten Truncheon,Sela found this suspicious-looking mace in the Forgotten Crypts.
Grove of the Abomination,The Abomination,Night Mother's Embrace,Abomination's Bulwark of the Night Mother,A shield awarded for defeating the plague husk known as the Abomination.
Knife Ear Grotto,Drulshasa,Mother's Sorrow,Drulshasa's Dark Band of Mother's Sorrow,"For defeating the Dremora leader, Drulshasa in the cave known as Knife Ear Grotto, this ring was awarded."
Lady Llarel's Shelter,Lady Llarel,Plague Doctor,Plague Doctor Llarel's Sheltering Shield,"For defeating the wraith of Lady Llarel in the cave known as Lady Llarel's Shelter, this shield was awarded."
Lower Bthanual,Bthanual Centurion,Plague Doctor,Plague Doctor's Talisman of Bthanual,"For defeating the Dwarven centurion in the cave known as Lower Bthanual, this necklace was awarded."
Mabrigash Burial Circle,Mabrigash Shade,Mother's Sorrow,Mabrigash Spectral Blade of Mother's Sorrow,"A sword awarded for defeating the ghost, Mabrigash Shade."
Malak's Maw,Challenge the Tide,Plague Doctor,Gruznak's Chestplate,You earned this chestpiece by defeating Gruznak the Impatient at Malak's Maw.
Intruders in Deshaan,Mother's Sorrow,Dark Elf Scouting Boots,These boots were awarded for helping Scout Vartis discover the secret of the Orcs of Malak's Maw.
Ritual of Anguish,Mother's Sorrow,Khralek's Anguish,You received this staff after defeating Khralek gro-Vortag and aiding the Dark Elf spirits at Malak's Maw.
Mournhold,A Favor Returned,Night Mother's Embrace,Naryu's Sniper's Bow,Naryu Virian bestowed this weapon upon you for helping her investigate Maulborn activity in Mournhold.
The Mournhold Underground,Night Mother's Embrace,Ordinator Boots,"In gratitude for service to the Tribunal and the city of Mournhold, this piece of Ordinator armor has been bestowed."
Cultural Exchange,Plague Doctor,Rigurt's Cultural Coif,Rigurt the Brash gave you this coif for assisting the Nord Cultural Exchange in Mournhold.
Vengeance of the Oppressed,Mother's Sorrow,Betina's Fashionable Gloves,You received these gloves for helping resolve the situation between the Argonians and Betina Volek in Mournhold.
Muth Gnaar,Burning Revenge,Plague Doctor,Ashlander's Rebuke,"After avenging the Andalen brothers' father and setting fire to the Vereansu supply stores, Tennus Andalen gave you this axe."
Honor Bound,Mother's Sorrow,Ashlander's Honor of Mother's Sorrow,"For defeating the Vereansu leader, Ginasa, and saving the village of Muth Gnaar, Dolril Belvayn gave you this staff."
Mzithumz,Mechanical Murder,Plague Doctor,Dres Dirk,This dagger was a gift given to you for aiding the House Hlaalu caravan against Dres raiders at the ruins of Mzithumz.
That Which Matters Most,Night Mother's Embrace,Caravan Master's Ring,"For recovering House Hlaalu's cargo and manifest, Caravan Master Girano rewarded you with this ring."
Narsis,For Their Own Protection,Night Mother's Embrace,Hlaalu's Protection,"For uncovering evidence linking disappearances to the Llodos plague in Narsis, Councilor Ralden rewarded you with this mace."
Unwanted Guests,Mother's Sorrow,Hlaalu Pauldrons,"For investigating Maulborn activities in Narsis, Varon Davel gave you these pauldrons."
Hiding in Plain Sight,Night Mother's Embrace,Naryu's Spare Blade,This blade was your reward for defeating Giron and disrupting the Maulborn plot at Narsis.
Old Ida's Cottage,The Naked Nord,Mother's Sorrow,Naked Nord's Pants,You received these leggings after helping Norgred find his missing items.
Obsidian Gorge,Death Trap,Night Mother's Embrace,Ordinator Rerebrace,You received this rerebrace for stopping the shipments of Llodos Plague from leaving the Obsidian Gorge.
Plague Bringer,Night Mother's Embrace,Ordinator Chausses,"You received these chausses for defeating Merdyndril, the creator of the Llodos plague, at the Obsidian Gorge."
Nothing Left to Waste,Plague Doctor,Merchant Guardian's Pauldrons,These pauldrons were a gift from caravan guard Kotholl for helping him recover goods at the Obsidian Gorge.
Quarantine Serk,Bad Medicine,Mother's Sorrow,Plague Mask,Aerona Berendas gave you this light headpiece for helping combat the Llodos plague in Quarantine Serk.
Quest for the Cure,Mother's Sorrow,Quarantine Staff,This staff of healing was awarded for helping the alchemist Nilyne create a plague suppressant at Quarantine Serk.
Selfora,Rescue and Revenge,Mother's Sorrow,Selforan Temple Sash,This light armor was awarded for defeating the Echo of Vox and freeing the town of Selfora.
Shad Astula,Vision Quest,Mother's Sorrow,Shad Astula Academy Robes,These robes were a gift given to you for stopping the Maulborn from converting the students at the Shad Astula Academy.
Short-Tusk's Hillock,Short-Tusk,Mother's Sorrow,Kagouti Slayer Medallion of Mother's Sorrow,"A necklace awarded for defeating the giant kagouti, Short-Tusk."
Shrine of Saint Veloth,A Saint Asunder,Plague Doctor,Saint Veloth's Shield,Saint Veloth himself bestowed this blessed shield for repairing the reliquary and restoring the Shrine of Saint Veloth.
Silent Mire,Cold-Blooded Vengeance,Plague Doctor,Cold-Blooded Vengeance,This weapon was awarded for avenging the village of Silent Mire against the Renrijra pirates.
The Saving of Silent Mire,Mother's Sorrow,Argonian Muck Minder of Mother's Sorrow,This staff was awarded for defeating Seeks-the-Night and aiding the Argonians of Silent Mire.
Tal'Deic Fortress,Bad Soldiers,Night Mother's Embrace,Redoran Great Sword,Awarded for showing the Redoran Sentinels that bad behavior will not be tolerated at Tal'Deic Fortress.
The Soldier's Alibi,Night Mother's Embrace,Redoran Bludgeoner,A weapon awarded for rescuing the soldier Saryvn from the ruins beneath Tal'Deic Fortress.
What Lies Beneath,Plague Doctor,Redoran General's Gauntlets,These gauntlets were your reward for exposing the truth of a Maulborn plot to disrupt Tal'Deic Fortress.
Remembering Risa,Plague Doctor,Ring of Remembrance,This ring was given to you for returning Risa's amulet to her mother.
A Service for the Dead,Plague Doctor,Redoran Cuisses,These cuisses were awarded for returning a fallen Redoran soldier's medallion to his retainer at Tal'Deic Fortress.
Taleon's Crag,Egg-Eater,Night Mother's Embrace,Dungeon-Delving Mittens of the Night Mother,"For defeating the giant wasp called Egg-Eater in the cave known as Taleon's Crag, these medium gloves were awarded."
Tribunal Temple,The Seal of Three,Night Mother's Embrace,Ordinator Helm,Almalexia herself gave you this helm for defeating Vanus Sathram and saving the Tribunal Temple.
Triple Circle Mine,Bonetooth,Night Mother's Embrace,Bonetooth's Charm of the Night Mother,"For defeating the giant kagouti called Bonetooth in the Triple Circle Mine, this necklace was awarded."
Vale of the Ghost Snake,The Trial of the Ghost Snake,Night Mother's Embrace,Snakeskin Belt,This belt was awarded for deciding the fate of the Mabrigash in the Vale of the Ghost Snake.
