Galen and Y'ffelon
Place,Boss/Quest,Set,Item Name,Description
Embervine,Shaky Job Prospects,Bastion of the Draoife,Crystalbreaker's Belt,A sturdy belt embedded with tiny crystal shards. Debris from the destroyed artifacts used by Firesong Druids at Embervine cave.
Fauns' Thicket,Cursed and Coniferous,Back-Alley Gourmand,Cursebreaker's Staff,"A staff of familiar-looking wood. Perhaps given, or taken, from one of the cursed in Faun's Thicket."
An Eye for an Eye,Phoenix Moth Theurge,Razum-dar's Second-Best Bow,"A memento of your adventure together on Galen. A Khajiiti claw has carved the letter R on the base of this seasoned, well-used bow."
Fauns in Peril,Back-Alley Gourmand,Thorncaster's Lava Staff,"Scarred from the claws of many Faun spellcasters, this staff gives off a great deal of heat. Still connected in some way to the raging inferno beneath Galen."
Glimmertarn,Seeds of Destruction,Bastion of the Draoife,Archdruid's Defender Shield,"Enchanted with countless layers of protective magics, the druids of Galen ensure their champions are well cared for."
Llanshara,The Sea Runs Restless,Phoenix Moth Theurge,Footpad's Bracers,"Castoff gloves from a former member of the Thieves Guild, the fingertips are still stained with lock oil and scarred from close calls with traps."
Vastyr,A Sea of Troubles,Back-Alley Gourmand,Mornard Noble Breeches,"The regal colors of House Mornard once blazed on banners across the Systres. Now the house is in decline, their banners relegated to prominence in Vastyr."
Tides of Ruin,Phoenix Moth Theurge,Bernique Mornard's Pendant,"A simple but very fine piece of jewelry handed down through the generations from Bernique Mornard, a leader known as the mother of Vastyr."
The Siege of Vastyr,Phoenix Moth Theurge,Count Leonard's Greatblade,"The grip is notched by endless battles, while the blade is perfectly weighted; as flawless as the day it was forged. The sigil of House Mornard stands proudly at the hilt, a testament to its former owner."
The Dream of Kasorayn,Phoenix Moth Theurge,Ivy-Clad Shoulderpads,"Once worn by an acolyte of Druid King Kasorayn, this armor still bears the scars of fighting between the circles."
Guardian of Y'ffelon,Phoenix Moth Theurge,Lavablood Axe,"A trophy from the stores of the Firesong Circle. Still warm to the touch, the leaders of the circle knew endless magics now lost to zealotry and madness."
The Ivy Throne,Bastion of the Draoife,House Volorus Signet Ring,An ancient and rusted ring pitted with years of neglect. The faded sigil of the largely forgotten noble house Volorus dominates the face.
Dragon Frog Dilemma,Phoenix Moth Theurge,Frog-Tender's Jack,"Slightly scorched in one or two places, this armor has a few cleverly sewn pockets perfectly sized for frog treats and toys."
The Freebooters,Back-Alley Gourmand,Gloomlantern Epaulets,"Some small measure of the Gloomlantern's power dwell within these shoulders, causing fog to disperse around the wearer on a shrouded night."
A Gulf of Time,Bastion of the Draoife,Lost Soul Gauntlets,"A bit rusty and water worn from the dark seas around Galen, these gauntlets still bear the warmth of a loved one's touch."
Spice of Life,Back-Alley Gourmand,Chef's Spice Ring,"A ring with a hidden compartment for spices. Filled with a signature concoction containing, among other things, Volcanic Reaper Peppers."
Y'ffre's Path,A Heart Turned Black,Back-Alley Gourmand,Cowl of the Chronicle,Within the folds of this well-made hood you can still hear the whispers of Y'ffre's Chronicle echoing in your ears.
