Lead,Type,Source,Location
40px,Arkthzand Insight Vertex Shroud,Hat,"From an ""Inactive Construct"" across the broken bridge south of the Library of Arkthzand, Blackreach: Arkthzand Cavern",141460
40px,Barkroot Blessing,Skin,Multiple Antiquity sources in Galen,N/A
40px,Bog Blight Funerary Mask,Outfit Style,"From a ""Sacred Feather"" on top of a large Grave-Stake by a tree, west of Rockgrove Trial, Blackwood",30418
40px,Eldertide Shoulders,Outfit Style,In Galen Treasure Map I,N/A
40px,Companion's Coronet,Major Adornment,"From an ""Atmoran Tablet"" in High King Svargrim's Chamber in the Blue Palace in Solitude, Western Skyrim",29092
40px,Dwemer Body Markings,Body Marking,"Drops from the Dwarven Spider Delve Boss in The Scraps, Greymoor Caverns",29098
40px,Dwemer Crown,Major Adornment,"Drops from Clockwork Criterion Public Dungeon boss in Nchuthnkarst, Greymoor Caverns",29294
40px,Dwemer Face Markings,Head Marking,"Drops from Dismantler the Dwarven Colossus World Boss in Dark Moon Grotto, Greymoor Caverns",28793
40px,Ironclad Sarcoshroud,Hat,"From the ""Unusual Metal"" Daedric stone at the base of a tall, thin, dead tree north-northeast of the Wretched Spire Wayshrine, The Deadlands",141458
40px,Nighthunter's Cowl,Hat,"From a pile of ""Druidic Arrows"" on the ground, northeast of Banished Refuge, High Isle, on a cliff next to a waterfall, to the right",141484
40px,Spore Savant Body Marks,Body Marking,Multiple Antiquity sources in the Telvanni Peninsula and Apocrypha,N/A
40px,Spore Savant Face Marks,Head Marking,Multiple Antiquity sources in the Telvanni Peninsula and Apocrypha,N/A
40px,Ysgramor's Chosen Body Markings,Body Marking,"From an ""Atmoran Tablet"" near the exit in Morthal Barrow, Western Skyrim",28834
40px,Ysgramor's Chosen Face Marking,Head Marking,"From an ""Atmoran Tablet"" beneath the bridge at Dragon Bridge, Western Skyrim",29142
