Place,Boss?Quest,Set,Item Name,Description
Clockwork City
Brass Fortress,To The Clockwork City,Unfathomable Darkness,Living Shadow Skin,Divayth Fyr's mind worked quickly to infuse part of his lost shadow essence into this cast-off brigandine.
In Search of a Sponsor,Mad Tinkerer,Registrar's Legwrap,"Apostle garb is stiff and inflexible, much like the Apostles themselves."
The Strangeness of Seht,Unfathomable Darkness,Grips of the Impostor,The Shadow of Sotha Sil slipped through your fingers. It won't next time.
Deepening Shadows,Livewire,Traitor's Cuirass,Even the act of betrayal has its place in Apostle philosophy.
Lost in the Gloam,Unfathomable Darkness,Tenebrous Girdle,The Whispering Shadows cult that serves Nocturnal crafts its armor with threads of living shadow pulled from the streams of Evergloam.
Cogitum Centralis,Where Shadows Lie,Livewire,Proctor's Bronze Fists,The Clockwork Apostles furnish their proctors with the most finely-crafted armor in the Clockwork City.
Elegiac Replication,The Light of Knowledge,Mad Tinkerer,Raiment of the Initiate,"You served Sotha Sil well, and in exchange he presented you with this garment common to initiates of the Clockwork Apostles."
Everwound Wellspring,Oasis in a Metal Desert,Mad Tinkerer,Gardening Gloves,"The rich loam of the Everwound Wellspring is a rare and precious resource, and should be handled with gentle care."
Halls of Regulation,The Halls of Regulation,Livewire,Welder's Greaves,"With all of the sparking, burning, and bladed objects in the Clockwork City, having good protection at knee level is considered essential."
Mechanical Fundament,Unto the Dark,Unfathomable Darkness,Evergloam Leggings,"""You know,"" Dalomar mused, ""the Shrikes don't wear clothes. I wonder why the cultists bother."""
Mnemonic Planisphere,The Astronomer's Apprentice,Mad Tinkerer,The Astronomer's Orbit,"Even something as simple as a belt is a metaphor in Clockwork theology. In this case, the movement of celestial spheres and planes."
Reactor District,Most Complicated Machine,Livewire,Spare Serpentine Belt,This tough belt is made from a rubbery strap leftover from Terari's exchange machine.
The Shadow Cleft,The Shadow Cleft,Unfathomable Darkness,Cleft Striders,"Tightly sealed boots are important when moving through Evergloam, lest small Daedric creatures wriggle their way into the spaces between."
Vale of Tiers,Cogs of Fate,Mad Tinkerer,Oracular Sandals,It doesn't take a prognosticating factotum to know that a good pair of shoes can save you a lot of grief.
Family Feud,Livewire,Explorer's Boots,Raynor cobbled these boots together from spare parts found during your exploration of the Clockwork City.
