Eastmarch
Place,Boss/Quest,Set,Item Name,Description
Ammabani's Pride,Ammabani,Fiord's Legacy,Fiord's Ammabani's Pride,"A ring awarded for defeating the giant sabre cat, Ammabani."
The Bastard's Tomb,Agnenor the Blade,Fiord's Legacy,Fiord's Agnenor's Brutal Blade,"A weapon awarded for defeating the Stormfist Brigade leader, Agnenor the Blade, in the Bastard's Tomb."
Bonestrewn Crest,Dark Deeds,Akaviri Dragonguard,Hefty Bonestrewn Gauntlets,"For aid and assistance provided to the foresters working the Bonestrewn Crest, Selgaard awarded you with these heavy gloves."
The Chill Hollow,Nomeg Chal,Stendarr's Embrace,Chill Hollow Pendant of Stendarr,"A necklace awarded for defeating the frost atronach, Nomeg Chal, in the cave known as Chill Hollow."
Cradlecrush,The Siege of Cradlecrush,Fiord's Legacy,Giant-Friend,The mysterious Aspera gave you this bow for helping the giants drive Lob the Cleaver and the Stormfists out of Cradlecrush.
Cragwallow,Merriment and Mystery,Fiord's Legacy,Riekling Skull-Cleaver,"For helping the Royal Road Works of Cragwallow and stopping the Riekling menace, this axe was awarded."
Darkwater Crossing,Bath Time,Stendarr's Embrace,Bathrobe of Vigor,This robe was your reward for helping the bathers taking advantage of the hot springs south of Wittestadr.
Our Poor Town,Fiord's Legacy,Darkwater Hand Warmers,The Dreamwalker Stormy-Eyes gave you these protective gloves for aid provided to the Argonians of Darkwater Crossing.
Dragon Mound,Vivien Armene,Akaviri Dragonguard,Bonelord's Annihilator of the Dragon,"A weapon awarded for defeating the necromancer, Vivien Armene."
Dragon's Hallow,Mannskadi and Ulgorus,Akaviri Dragonguard,Mammoth Band of the Dragon,"A ring awarded for defeating the giant mammoth, Mannskadi."
Fort Amol,Best of the Best,Stendarr's Embrace,Steady-Hand's Shot Brace,"For proving to be the best of the best in a hunting contest, Steady-Hand bestowed this light-weight belt."
Lifeline,Stendarr's Embrace,Wolf-Sister Sandals,Thane Oda Wolf-Sister gave you these sandals for acquiring the vampire blood and aid of a Dreamwalker.
The War Council,Akaviri Dragonguard,Skald-King's Favor,Prince Irnskar awarded this heavy helm for aiding Jorunn the Skald-King's war council at Fort Amol.
Fort Morvunskar,Blindsided,Akaviri Dragonguard,Skald-King's Pauldrons,"For helping the soldiers of Fort Morvunskar repel the Stormfist invaders, this heavy armor was awarded."
Sleep for the Dead,Fiord's Legacy,Burial Jewel of the Brief Queen,The spirit of Queen Nurnhilde gave you this amulet for aid provided in the royal tombs beneath Fort Morvunskar.
The Frigid Grotto,Frostbite Mangler,Fiord's Legacy,Fiord's Frigid Troll Bones,"A necklace awarded for defeating the troll champion, Frostbite Mangler, in the cave known as the Frigid Grotto."
Icehammer's Vault,Thane Icehammer,Stendarr's Embrace,Icehammer's Frigid Maul of Stendarr,"A weapon awarded for defeating the draugr, Thane Icehammer, in the cave known as Icehammer's Vault."
Jorunn's Stand,A Council of Thanes,Akaviri Dragonguard,Skald-King's War Plackart,"For helping Jorunn the Skald-King's council of war take place at Jorunn's Stand, this heavy armor was bestowed."
Torn Asunder,Stendarr's Embrace,Sonya's Bridal Veil,"Hadmal gave you his most prized possession, his beloved wife's bridal veil, for putting his daughters' troubled spirits to rest."
