Coldharbour
Place,Boss/Quest,Set,Item Name,Description
Aba-Darre,Sthorha the Crazed,Meridia's Blessed Armor,Stortha's Hide Shield of Meridia,"A shield awarded for defeating the daedroth champion, Sthorha the Crazed."
Aba-Loria,Cirterisse,Stygian,Stygian Cirterisse's Vampiric Staff,"A weapon awarded for defeating the Altmer necromancer, Cirterisse, in the cave known as Aba-Loria."
The Black Forge,Vanus Unleashed,Stygian,Black Forge Blade,"You were given this blade for exploring the Black Forge and restoring the great mage, Vanus Galerion."
Breaking the Shackle,Prisoner's Rags,Galerion's Spare Staff,"The great mage, Vanus Galerion, gave you this staff for helping him destroy the Great Shackle and weaken the Planemeld."
The Cave of Trophies,Gnilokelo,Prisoner's Rags,Prisoner Gnilokelo's Dread,"A staff awarded for defeating the Dremora terror mage, Gnilokelo, in the Cave of Trophies."
A Misplaced Pendant,Prisoner's Rags,Ahirunz's Beloved Sash,Ahirunz awarded this light-weight belt for recovering his beloved Ernabi's pendant from the Cave of Trophies.
The Chasm,Crossing the Chasm,Meridia's Blessed Armor,Molag Grunda's Girdle,You earned this girdle by defeating Molag Grunda at the Gatehouse in Coldharbour.
Cliffs of Failure,The Endless War,Meridia's Blessed Armor,The Observer's Battle Boots,This Daedric footwear was awarded for joining the Observer's game and choosing a side at the Cliffs of Failure.
A Bargain With Shadows,Meridia's Blessed Armor,The Observer's Battle Helm,This Daedric helmet was awarded for beating the Observer at the Cliffs of Failure.
A Thorn in Your Side
The Will of the Worm
Court of Contempt,Hall of Judgment,Meridia's Blessed Armor,Arbiter's Vambraces,You were given these gauntlets for saving the Mages Guild members and defeating Judge Xiven at the Court of Contempt.
Cynhamoth's Grove,Cynhamoth,Prisoner's Rags,Prisoner Cynhamoth's Undulating Band,"A ring awarded for defeating the harvester champion, Cynhamoth."
Daedroth Larder,"Nolagha, Keggahiha, and Rsolignah",Meridia's Blessed Armor,Nolagha's Scale Leggings of Meridia,Heavy leggings awarded for defeating the daedroth trio led by the fearsome Nolagha.
Duriatundur's Killing Field,Duriatundur,Prisoner's Rags,Prisoner Duriatundur's Frigid Amulet,"A necklace awarded for defeating the ice wraith champion, Duriatundur."
The Everfull Flagon,Special Blend,Stygian,Everfull Girdle,Nelhilda gave you this medium-weight belt for helping to break the curse hanging over the Everfull Flagon.
The Grotto of Depravity,Nerazakan,Stygian,Stygian Nerazakan's Fascination,"A shield awarded for defeating the Dark Seducer champion, Nerazakan, in the Depraved Grotto."
