Solstice
Place,Boss/Quest,Set,Item Name,Description
Aldwilne Citadel,Choice and Consequence,Three Queens Wellspring,Frostbind of the Hollow Crown,"Carved in the image of a prince who lost everything, this staff radiates the chill of a forgotten crown."
Ashbound Hall,Lost Among the Ashes,Xanmeer Genesis,Duskfang Reaper,"Formed in the shadow of Ashbound Hall, this axe was made to end the cursed hunger. Its edge drinks no blood-instead denying it entirely."
Broken Light Temple,Mystery of the Broken Temple,Three Queens Wellspring,Soothing Light,"A healing staff enchanted by the power of Meridia, the Daedric Prince of Light."
Calindvale Gardens,Fleeing the Shadows,Xanmeer Genesis,Ashbark Treads,"Shaped from fallen trees that never grew in Tamriel, these boots creak with memories of a forest twisted by Coldharbour's will."
Carapace Cavern,The Skull of Gandelec,Death-Dancer,Ancient Leel Vestment,"An enchanted ring, its band etched with the likeness of a menacing skull, eerily mirroring those found deep within Carapace Cavern."
Caterwaul Cove,Blood on the Water,Xanmeer Genesis,Treads of the Bonnie Spriggan,"Light enough for a silent step and sturdy enough for a storm-washed deck, these treads once graced the feet of the Bonnie Spriggan's fleet-footed crew."
Corelanya Manor,Ghosthunters,N/A,Corelanya Manor Vault Sack,A collection of coins and valuables from the vaults in Corelanya Manor.
Deetra Grotto,The Daedric Scourge,Three Queens Wellspring,Soul-Touched Cowl,A Coldharbour-imbued head covering found in Deetra Grotto.
Eastern Solstice,An Ambition Fulfilled,Death-Dancer,Grips of the Realmstrider,"Crafted for one who walks the skeins between planes, these gloves retain the touch of realms long departed."
Death Hound's Devotion,Full Belly Barricade,Gauntlets of the Houndsworn,"Forged to weather fang, flame, and claw, these gauntlets were given in thanks by a vampire hunter whose Daedric hound would have died without you."
Dubious Intentions,Full Belly Barricade,Maul of the Hollow Hunt,"Once meant to fell beasts in the wild, this maul now bears a heavier stain. The hunter offered it without protest, perhaps because it was never truly his to begin with."
Everlasting Fair,The Everlasting Fair,Full Belly Barricade,Sanguine Rose Pendant,"A glimmering pendant, bestowed upon those who triumph in the grand festivities and revels dedicated to Sanguine, the Daedric Prince of Pleasure."
Gristmung Hold Camp Wayshrine,The Worm Turns,Xanmeer Genesis,Stirk Fellowship Pauldrons,"Shaped for those who stood unshaken in the face of chaos, these pauldrons bear the heavy weight of duty even as they shield against steel."
Hunt for the Great Mage,Xanmeer Genesis,Stirk Battletunic,"Carried by sworn protectors of the Fellowship, this mace symbolizes the vows made not to a place, but to the allies who march beside you."
Lair of the Black Worm,Dismantling the Worm,Xanmeer Genesis,Wormcast Visage,"Its surface bears the scorched imprint of a Worm Cult mark-burned away, but not forgotten."
Hecicla's House,The Hermit in the Hills,Death-Dancer,Stone-Nest Fangblade,"Though simple in form, this blade was honed with patience and purpose. The hermit claimed that the stone itself asked her to give it to one who showed kindness without demand."
Mor Naril Camp,The Deep Tombs of Xul-Haj,Xanmeer Genesis,Stirk Fellowship Pauldrons,"Worn by those who scout ahead and strike first, this tunic offers freedom of movement without sacrificing the mark of the Fellowship."
The Gates of Mor Naril,Xanmeer Genesis,Fellowship Scouthelm,"Favored by the Fellowship's forward scouts, this helm offers protection without hindering sight or stealth."
Sea and Sword Lodge,A Traitor's Tyranny,Xanmeer Genesis,Staff of the Reclaimed Lesson,"Once used to teach healing arts in a hall now scarred by Daedric flame, this staff was spared when all else burned."
Shell-Tide Village,Tides of the Heart,Three Queens Wellspring,Tide-Born Egg-Handling Gloves,A special pair of shoal-tender gloves given as a show of trust and respect by the Tide-Born tribe.
Shor's Stand,The Stubbornness of Nords,Full Belly Barricade,Stirk Fellowship Armored Legplates,Leg armor awarded by the Stirk Fellowship for outstanding service at Shor's Stand.
Sunport,The Stirk Fellowship,Full Belly Barricade,Stirk Fellowship Plated Boots,Armored footwear awarded to members of the Stirk Fellowship for outstanding service.
The Regent of Sunport,Full Belly Barricade,Stirk Fellowship Battle Robes,Robes awarded to members of the Stirk Fellowship for outstanding service.
The Golden Knight,Xanmeer Genesis,Darien's Promise,"Simple in design but laden with meaning, this ring bears the warmth of a fading light. Darien offered it not as a farewell, but as a vow. Wherever you walk, know that part of him walks with you."
Striking the Deal,Death-Dancer,Great Bow of Oblivion,"A Daedric weapon, received as payment for assisting Captain Genevé Delitian."
Sunport Rampart Camp,A Cold Grave,Xanmeer Genesis,Mantle of the Quiet Farewell,These light shoulder wraps once belonged to a soldier known for his bravery and his chronic inability to tell healing potions from painful poisons.
Tainted Leel,Secrets in the Sand,Death-Dancer,Ancient Leel Vestment,An ancient chestpiece once lost to the abandoned Argonian village of Tainted Leel.
Vale of Revelry,Party Pains,Three Queens Wellspring,Dibellan Adoration Ring,"A ring awarded to the ""Most Adored"" of the Blushing Brush."
Vinutilmo Palace,The Passages Beneath,Death-Dancer,Stirk Fellowship Padded Shoulderguards,Shoulderguards awarded to members of the Stirk Fellowship for outstanding service.
The Writhing Wall,Death-Dancer,Stirk Fellowship Greatsword,A weapon awarded to members of the Stirk Fellowship for outstanding service.
The Gift of Death,Full Belly Barricade,Stirk Fellowship Guardian Shield,A shield awarded to members of the Stirk Fellowship for outstanding service.
The Final Dark,Xanmeer Genesis,Necklace of the Unbroken Accord,"Forged from the combined crests of the Fellowship's founding orders, this necklace honors those who stood not for one banner, but for all."
Wankeen's Shop,A Pirate's Debt,Three Queens Wellspring,Stirk Fellowship Firestorm Staff,"How this valuable Stirk Fellowship gear wound up in a pirate's possession is unknown, but it's all yours now."
Western Solstice,A Death-Dancer's Duty,Death-Dancer,Death-Dancer Soul Slicer,A sharp Tide-Born blade utilized in Death-Dancer rituals all across Solstice.
Honor Bound,Death-Dancer,Honor's Fang,"A sharp, keen dagger infused with the essence of Coldharbour."
Xor-Hist,Roots in Stone,Three Queens Wellspring,Staff of the Silent Root,"Fashioned from the wood of a Hist that speaks no more, this staff carries a quiet, watchful power."
Xul-Katama,To Know the Void,Full Belly Barricade,Stonebinder's Bulwark,"Recovered from the depths of a forgotten chamber, this shield bears markings the researcher could not translate."
