Bangkorai
Place,Boss/Quest,Set,Item Name,Description
Arlimahera's Sanctum,Dayarrus,Seventh Legion Brute,Seventh Legion's Lava-Charred Greaves,
Bangkorai Garrison,Storming the Garrison,Seventh Legion Brute,Greatshield of Bangkorai,Etched along all its edges are the coats of arms for both King Eamond and Queen Arzhela of Evermore.
Basking Grounds,A Handful of Stolen Dreams,Vampire Lord,Token of Gratitude,This humble gift was given by refugees fleeing Bangkorai in gratitude for retrieving belongings stolen by invading Imperials.
Blackheart Haven,Jumping Ship,Bone Pirate's Tatters,Bone Pirate's Pillaging Garb,"A parting gift from your friend, Shifty Tom."
Blighted Isle,Woodblight,Spriggan's Thorns,Spriggan's Bark-skinned Gages,
Crypt of the Exiles,Ulbazar Thief-Lord,Spriggan's Thorns,Spriggan's Thief-Lord's Slippers,
A Favor Between Kings,Vampire Lord,Exiles' Legacy,"For completing Dame Frederique's mission and recovering Makela Leki's memory stone in the Tomb of the Exiles, scholar Madaima awarded you this ring."
Damar Farmstead,The Returned,Vampire Lord,Scorched Shoulderpads,This Daedra-touched armor was the gift of a grateful bridegroom at the Damar Farmstead in Bangkorai.
Evermore,A City in Black,Vampire Lord,Mourning Sash,The newly widowed Queen Arzhela gifted this sash in thanks for uncovering the Imperial spy plot in Evermore.
Imperial Infiltration,Seventh Legion Brute,Greaves of Evermore,The grieving Queen Arzhela awarded these greaves for your service to a city caught between invading Reachmen and Imperials.
The Parley,Seventh Legion Brute,The Negotiator,This ceremonial blade is an exquisite marriage of form and function.
Fallen Grotto,The Heart of the Beast,Spriggan's Thorns,Hircine's Boon,You proved yourself a formidable hunter and returned Fallen Grotto to the wyrd. Hircine himself awarded you this bone-adorned shoulder armor.
The Far Shores,To Walk on Far Shores,Seventh Legion Brute,Shore's Edge,It is said the edge of this blade was honed on a type of whetstone found only in the Far Shores.
Hall of Heroes,Striking Back,Seventh Legion Brute,Ring of the Fallen Wastes,"Etched with the likeness of Sep, this ring was your reward for the long trek to track down Septima Tharn in Bangkorai."
Trials and Tribulations,Spriggan's Thorns,Heroes' Hatchet,This axe serves as the final blessing earned from the Hall of Heroes in Bangkorai.
Hallin's Stand,The Lion's Den,Seventh Legion Brute,Boots of the Seventh Legion,"A gift from the Red Asp, in thanks for your service to the people of Hallin's Stand."
A Thirst for Revolution,Spriggan's Thorns,Hallin's War Belt,A gift from the people of Hallin's Stand for liberating Grandeya Nuwarrah and sparking the resistance against Imperial occupation.
The Shifting Sands of Fate,Vampire Lord,Staff of Secundus,Grandeya Nuwarrah of Hallin's Stand gave you this staff for defeating the city's Imperial occupiers.
Halcyon Lake,The Water Stone or Sunken Knowledge,Vampire Lord,Skystaff of Secrets,"Herald Kixathi did not see to the end of the nereid Lorelia. Nonetheless, Hermaeus Mora rewarded you with this staff for abiding by the tides of fate."
Jackdaw Cove,Heart of Evil,Vampire Lord,Robe of Nature's Fury,"For defeating Uela of the Dark Witnesses, and destroying her heart to cleanse the forest, the Glenmoril Wyrd gifted these robes."
The Last Spriggan,Spriggan's Thorns,Wyrd Moccasins,Wyress Shannia gave you these handmade shoes in thanks for avenging the spriggans turned into lurchers at Jackdaw Cove.
Kerbol's Hollow,Freedom's Chains,Spriggan's Thorns,Chausses of the Cured,"You earned this armor by deciding the fate of Kerbol's Hollow, a hidden village of werewolves."
Klathzgar,Klathzgar's Centurion,Spriggan's Thorns,Spriggan's Centurion Breaker,
Lakewatch Tower,Garach Wolf-Father,Spriggan's Thorns,Spriggan's Wolf-Jaw,
Martyr's Crossing,Raiders at the Crossing,Vampire Lord,Saint Pelin Leggings,Knight Commander Cheryline awarded this armor as thanks for defending Martyr's Crossingv and helping make peace with the Baandari.
Murcien's Hamlet,The Charge of Evermore,Spriggan's Thorns,Foe-Smasher,Squire Theo Rocque awarded this grim weapon as thanks for helping him discover who murdered Sir Etienne during the Reachman siege on Murcien's Hamlet.
Nilata Falls,Nomeg Hyril,Vampire Lord,Vampire Lord's Cold-Bite,
Nilata Ruins,A Marriage in Ruins,Spriggan's Thorns,Anexiel's Thorax,"Mephala's purpose in meddling with the marriage of Najan and Adeena remains in question. But you came back with answers for Najan, who awarded you this armor."
Northglen,Beyond the Call,Seventh Legion Brute,Cuirass of the Defender,"Captain Eugien Gaercroft secured an alliance with the Glenmoril Wyrd at the cost of his daughter, Isabeth. For your help, he awarded this armor."
Old Tower,A Token Trophy,Spriggan's Thorns,Helenus' Helm,Captain Wardush met a bitter end in pursuit of revenge for Old Tower. His sister wives awarded this helmet as thanks for seeing to his last wishes.
Scavenging for a Scarab,Spriggan's Thorns,The Scarab's Sting,"For aiding in Covenant spywork to send Imperial forces back to Cyrodiil, Mazrahil the Scarab awarded this dagger."
