Stonefalls
Place,Boss/Quest,Set,Item Name,Description
Ash Mountain,The Death of Balreth,Shalk Exoskeleton,Dagon Morag,"Also known as 'The Unbound Blade,' this sword was forged using a bonespur from the great Brother of Strife, Balreth."
Close the Scamp Caves,Shalk Exoskeleton,Scampstamper Sabatons,The soles of these sabatons were magically hardened.
Ashen Road Wayshrine,A Goblin's Affection,Shadow of the Red Mountain,Spider-Wrangler's Gloves,The leather used to craft these gloves repels poison.
Waylaid Wine Merchant,Silks of the Sun,Spider-Wrangler's Gloves,The intricate weave used in these gloves imbues the wearer with magical potency.
The Brahma's Grove,Ozzacha,Shadow of the Red Mountain,Netch-Hunter's Bow of the Red Mountain,Taken up by a fallen hunter in the Brahma's Grove.
Brothers of Strife,The Brothers Will Rise,Silks of the Sun,Telvanni Warsash,It's said that a traitor within House Telvanni was choked by this sash.
Cave of Memories,Ulath Ancestor,Silks of the Sun,Ancestor's Kilt of the Sun,Blessed by the tribe's wise woman in the Cave of Memories.
Davon's Watch,City Under Siege,Silks of the Sun,Indoril Pyrostaff,Legend says this staff was once used to smite an Akaviri Warlord.
Exquisite Tears,Shadow of the Red Mountain,Trader's Signet,This ring was allegedly worn by a merchant who was sponsored by Sotha Sil.
The Wizard's Tome,Silks of the Sun,Apprentice's Leggings,These leggings are often issued to the newest members of the Mages Guild.
Ebonheart,Restoring Order,Silks of the Sun,Redoran Archmage's Robes,House Redoran invested a great deal of gold to weave these fine robes.
Savages of Stonefalls,Shalk Exoskeleton,Ashlander's Girdle,This girdle was rough-forged from metals common to the Ashlands.
Taking the Tower,Shadow of the Red Mountain,Hlaalu Trader's Belt,This belt includes several inner pockets for holding coins and lockpicks.
Emberflint Mine,Maebomaz,Shadow of the Red Mountain,Maw of Maebomaz of the Red Mountain,Hewn from the skull of the Daedric beast at the bottom of Emberflint Mine.
Desperate Souls,Silks of the Sun,Ashwalker's Boots,One could walk all the way across Tamriel in these boots without ever being fatigued.
Fort Arand,The Venom of Ahknara,Shadow of the Red Mountain,Ahknara's Silent Slippers of the Red Mountain,These slippers are made from flexible Duneripper hide gathered in the Alik'r Desert.
Fort Virak,The General's Demise,Shalk Exoskeleton,Lionbanner Chestplate,This breastplate was forged by the great war-smiths of Daggerfall.
Heimlyn Keep,What Was Done Must Be Undone,Silks of the Sun,Telvanni Spellhood,This hood was woven with the finest silks of Vvardenfell.
Hightide Hollow,Oodegu,Silks of the Sun,Oodegu's Flamestick of the Sun,Burnt and pitted from close-up combat in the depths of Hightide Hollow.
Hrogar's Hold,Kinsman's Revenge,Shalk Exoskeleton,Pauldrons of the Holdfast,"A great thane once wore these into battle. His name is long-forgotten, but the pauldrons are as good as new."
Iliath Temple,Undermined,Shadow of the Red Mountain,Temple Keeper's Spaulders,These spaulder were once worn by acolytes tending the deep vaults below Heimlyn Keep.
Inner Sea Armature,Zozuzetharus,Shalk Exoskeleton,Guardian's Plate-Helm of the Shalk,Still slightly warm from the steamy air of Inner Sea Armature.
A Mother's Obsession,N/A,Neatly-Pressed Envelope,This envelope contains a couple of treasure maps that Mirri thought you might enjoy hunting for.
Kragenmoor,Saving the Son,Shalk Exoskeleton,House Cousin's Helm,This helm makes the wearer want to stand straight and proud.
The Fetish,Shadow of the Red Mountain,Great Axe of Obedience,This great axe was forged for a powerful and dominating ruler.
This One's a Classic,Silks of the Sun,Boltstaff of Koal Canton,"Up close, the staff smells of crushed muckspunge pulp and netch tentacles."
Vengeance for House Dres,Silks of the Sun,Sigil of House Dres,This amulet hums with restrained power.
Lukiul Uxith,Enlightenment Needs Salt,Silks of the Sun,Murkreed Mantle,The cloth used in this mantle still smells faintly of alchemical reagents and swamp water.
A Storm Broken,Silks of the Sun,Mota Fang,This dagger was made from the actual fang of a great Shadowfen serpent.
The Matron's Clutch,Blueclaw Matron,Shadow of the Red Mountain,Dreugh-Hide Leggings of the Red Mountain,Smells faintly of the tides around Matron's Clutch.
Mephala's Nest,Gozzak,Silks of the Sun,Shadowsilk Headwrap of the Sun,Smells vaguely of the cabbage eaten by Goblins in Mephala's Nest.
Othrenis,Rending Flames,Shalk Exoskeleton,Ancient Warden's Greaves,"These greaves are as old as the Dunmer race, but they're as strong as the day they were forged."
Quieting a Heart,Shadow of the Red Mountain,Bala's Engagement Chain,This necklace imbues its wearer with better health and a more positive mental outlook.
Sathram Plantation,Shattering Mirror,Shadow of the Red Mountain,Sommelier's Gloves,A cowl that shields the wearer from the elements and from fatigue.
A Story Told in Footprints,Shalk Exoskeleton,Rebellion Mace,This mace was soaked in the blood of countless oppressors.
Senie,Percussive Ranching,Shalk Exoskeleton,Cured Kwama Leggings,Someone spent a great deal of time gathering and fashioning all this Kwama Cuttle into the shape of a shield.
Proving Trust,Shadow of the Red Mountain,Kwama Cuttle Shield,"Hand-cured in the Kwama Mines of Senie, these leggings are extremely rugged."
Sheogorath's Tongue,Dezanu and Calls-to-Nature,Shalk Exoskeleton,Shalk's Madcaller's Touch,The air around this relic from Sheogorath's Tongue always feels vaguely oily.
Shipwreck Strand,Shellcracker,Shalk Exoskeleton,Crabclaw Axe of the Shalk,"Made from the actual claw of Shellcracker, the cannibal crab."
Shivering Shrine,Aurig Mireh,Shadow of the Red Mountain,Madcaller's Blade of the Red Mountain,Stained with the blood of a dozen sacrifices at the Shivering Shrine.
Softloam Cavern,Dugrul,Silks of the Sun,Lionbanner Buckler of the Sun,"Scarred from battle, taken from the commander in Softloam Cavern."
Starved Plain,Enslaved in Death,Silks of the Sun,Spiritmender's Staff,This staff is imbued with the strength of scores of restful spirits.
Through the Aftermath,Shadow of the Red Mountain,Rhorlak's War Axe,The haft of this axe was hewn from the finest Skyrim lumber.
Strifeswarm Hive,Strifeswarm Champion,Shalk Exoskeleton,Strifeswarm Legplates of the Shalk,Still reeks of the kwama tunnel where it was formed.
Sulfur Pools,Peril at the Pools,Shadow of the Red Mountain,Falkwind's Shadewrap,This chestpiece was hand-made by the finest leatherworkers of Sentinel.
Recovering the Guar,Shalk Exoskeleton,Guarblood Ring,This ring pulsates with animal energy.
Tormented Spire,Sadal's Final Defeat,Shalk Exoskeleton,Sedura Morag,"Also known as 'the Unleashed Exalted Hammer,' this hammer was forged using a great bonespur of the Brother of Strife, Sadal."
Vivec's Antlers,The Coral Heart,Shalk Exoskeleton,Alexandra's Froststaff,This staff was once displayed proudly in the Daggerfall Mages Guild.
Cleansing the Past,Shalk Exoskeleton,Gauntlets of the Akaviri War,These gauntlets were designed to choke the scaled throats of the Akaviri invaders.
