Place,Quest,Set,Item Name,Description
Khenarthi's Roost
,Dark Knowledge,Armor of the Trainee,Inducer's Scalpel,"On occasion, this delicate blade vibrates slightly when sheathed."
Cat's Eye Quay,The Tempest Unleashed,Armor of the Trainee,Storm-Slave's Razor,"The grip of this massive sword tingles at your touch. While holding it, you can always feel a fresh breeze."
Eagle's Strand,Storm on the Horizon,Armor of the Trainee,Gold Fleet's Beacon,This simple staff hums quietly when grasped in both hands.
Hazak's Hollow,Moon-Sugar Medicament,Armor of the Trainee,Hazak's Hauberk,Hazak's clever alterations provide the hauberk's wearer with absolute freedom of movement.
Laughing Moons Plantation,A Pinch of Sugar,Armor of the Trainee,Ratsplatter,This hammer has unrecognizable gristle caked on its head.
Mistral,The Perils of Diplomacy,Armor of the Trainee,Queen's Own Cuirass,This chestpiece bears the markings of the Queen's Own Navy. It is lightweight enough that one could swim while wearing it.
Shattered Shoals,Cast Adrift,Armor of the Trainee,Broadhead Shield,"This shield bears the markings of the Broadhead Marines. Its living wood can recover from splintering, if watered regularly."
Speckled Shell Plantation,The Family Business,Armor of the Trainee,Sugar Jacket,This simple coat has a faintly sweet scent to it.
Temple of the Mourning Springs,Tears of the Two Moons,Armor of the Trainee,Mourning Bow,This filigreed bow feels damp to the touch.
Windcatcher Plantation,The Root of the Problem,Armor of the Trainee,Rootsplitter,This axe is coated in a sheen of sticky sap.
