Rumor,Quest (choice)
"|""You're the one who saved Fort Zeren. Terrible what happened at Foyen Docks, though.""",Zeren in Peril
"|""Weren't you at Foyen docks? I hear they never would have held without you.""",Breaking the Tide
"|""Are you the one I should thank, for saving my home from Balreth?""",The Death of Balreth
"|""Did you really defeat the Daedra Balreth blindfolded?""",The Death of Balreth
"|""Is it true Tanval sacrificed himself to seal Sadal away?""",Sadal's Final Defeat
"|""You're the hero who defeated Sadal at tormented spire. My respect.""",Sadal's Final Defeat
"|""Orcs commandeered Malak's Maw, but they were dealt with, thankfully. Orcs make me nervous.""",Intruders in Deshaan
"|""The temple appears as a nest disturbed. The Dark Elves swarm around it, seeming to busy themselves but accomplishing nothing.""",The Seal of Three
"|""I was sad to hear about the troubles in Silent Mire. Pirates, kidnapping. Is no place safe anymore?""",The Saving of Silent Mire
"""Any time I can cheer when a Dark Elf dies, I'll do it. Especially a Dark Elf as vile as Magistrix Vox.""",The Judgment of Veloth
"|""I wonder what the Dominion thought when they saw you burn their ship.""",Scales of Retribution
"|""They say Shadowscales are killers in the night. Then how do they explain Murkwater?""",Scales of Retribution
"|""My hatchling lives because of you. I tell all I see, so your legend will grow in the Hist.""",Keepers of the Shell
"|""Can Dark Elves, Nords, and Argonians actually work together? If not, this alliance is doomed.""",The War Council
"|""The King and half the Pact are at Jorunn's Stand. They say the Orcthane has taken refuge in the Skuldafn hills.""",Eternal Slumber
"|""Now that they're united, the Nords will make good allies.""",Songs of Sovngarde
"|""You're the hero who made Stral pay for the deaths of Dajaheel and Belron.""",Through the Shroud
"""Rumors spread like water in a stream that one of my people saved the King. Perhaps now they will respect us.""",Eternal Slumber
"|""I don't know the tribe in the Gray Mire, but I know your deeds there. May the Hist remember you always, friend.""",Scars Never Fade (Allow the Argonians to stay)
"|""Have you heard of that Sees-All-Colors? Cannot believe the Fighters Guild let her live.""",Will of the Council (If Sees-All-Colors is spared)
"""A strong Argonian woman becomes leader of the Fighters Guild... and she's slain! Typical.""",Will of the Council (If Sees-All-Colors is executed)
"|""It is the calm after the storm. We must pick up the pieces and continue, despite all the things we lost.""",The Final Assault
"|""When Drillk died, so did the source of the Knahaten Flu. You protected us all.""",Into the Temple (Kill Drillk)
