Endeavor,Description,Tips and Notes
"Acquire [1, 2] New Mundus Stone Boon(s)",Interact with Mundus Stones and change your Mundus boon to complete this endeavor.,
"Afflict [5, 10, 15, 20, 30] Enemies with Weapon Poisons",Apply consumable poisons to foes via your weapon to complete this endeavor.,
Capture 1 Keep in Cyrodiil,Capture keeps in Cyrodiil to complete this endeavor.,
Capture 1 Resource in Cyrodiil,"Capture a farm, lumber mill or mine in Cyrodiil to complete this endeavor.",
Capture 1 Town in Cyrodiil,Capture towns in Cyrodiil to complete this endeavor.,
"Cast [5, 10, 15, 20] Skills with active Skill Styles",Cast Skills with active Skill Styles to complete this endeavor.,
"Catch [4, 8, 12] Fish",Catch Fish to complete this endeavor.,
Claim 1 Reward from the Daily Login Calendar,Claim Daily Login Calendar Rewards to complete this endeavor.,
Clear 1 Oblivion Portal,Clear Oblivion Portals in Blackwood and the Deadlands to complete this endeavor.,
Clear 1 Volcanic Vent,"Stop Volcanic Vents in High Isle, Amenos, Galen, and Y'ffelon to complete this endeavor.",
"Collect [2, 5, 8, 12] Cloth-Producing Plants",Collect Clothier resources from cloth-producing plants to complete this endeavor.,
"Collect [2, 5, 8, 12] Pure Water Springs or Alchemical Plants","Collect Alchemical resources like plants, mushrooms, and water to complete this endeavor.",
"Collect Runestones from [2, 5, 8, 12] Nodes",Collect Enchanting resources from the specified number of runestone nodes to complete this endeavor.,
Complete 1 Arena,"Triumph over Maelstrom Arena, Vateshran Hollows, Blackrose Prison or Dragonstar Arena to complete this endeavor.",
"Complete [1, 2] Battleground Match(es)",Complete Battleground matches (win or lose) to complete this endeavor.,
"Complete [1, 2] Battleground(s) with a Guildmate",Finish battleground matches alongside a guildmate to complete this endeavor.,
"Complete [1, 2] Black Sacrament(s)",Complete Black Sacrament quests for the Dark Brotherhood to complete this endeavor. Undertake these nefarious missions in the Dark Brotherhood DLC.,
"Complete [1, 2] Consumables Master Writ(s)","Complete Master Writ quests for consumables goods like drinks, foods, glyphs, or potions to complete this endeavor.",
Complete 1 Daily Endeavor,Complete Daily Endeavors to complete this endeavor.,
"Complete [1, 2] Daily Quests",Complete any Daily Quests to complete this endeavor.,
"Complete [1, 2] Duel(s)",Complete duels with other players (winning or losing) to complete this endeavor. Forfeited duels do not count toward this goal.,
Complete 1 Dungeon with a Guildmate,Finish dungeons alongside a guildmate to complete this endeavor.,
"Complete [1, 2] Durables Master Writ(s)","Complete Master Writ quests for durable goods like weapons, armor, and jewelry to complete this endeavor.",
Complete 1 Endeavor while Grouped,Group with other players while completing endeavors to complete this endeavor.,
"Complete [1, 2] Group Dungeon",Complete Normal or Veteran Group Dungeons throughout Tamriel to complete this endeavor.,
Complete 1 Guild Daily Quest,Complete any Guild Daily Quests to complete this endeavor.,
"Complete [1, 2] Heist(s)",Complete Heist quests for the Thieves Guild to complete this endeavor. Sign up for these unlawful adventures in the Thieves Guild DLC.,
Complete 1 Holiday Quest,Join in the festivities and complete holiday quests to complete this endeavor.,
"Complete [1, 2] Public Dungeon Group Event(s)",Achieve victory in public dungeon group events to complete this endeavor.,
"Complete [1, 2, 3] Quest(s)",Complete quests throughout Tamriel to complete this endeavor.,
Complete 1 Quest for Bruma in Cyrodiil,"Complete quests for the town of Bruma, found in Cyrodiil, to complete this endeavor.",
Complete 1 Quest for Cheydinhal in Cyrodiil,"Complete quests for the town of Cheydinhal, found in Cyrodiil, to complete this endeavor.",
Complete 1 Quest for Chorrol in Cyrodiil,"Complete quests for the town of Chorrol, found in Cyrodiil, to complete this endeavor.",
Complete 1 Quest for Cropsford in Cyrodiil,"Complete quests for the town of Cropsford, found in Cyrodiil, to complete this endeavor.",
Complete 1 Quest for Vlastarus in Cyrodiil,"Complete quests for the town of Vlastarus, found in Cyrodiil, to complete this endeavor.",
Complete 1 Quest in Coldharbour,Complete quests in Coldharbour to complete this endeavor.,
"Complete [1, 2, 3, 4] stage(s) in the Infinite Archive",Clear stages in the Infinite Archive to complete this endeavor.,
"Complete [2, 4, 6] stage(s) in the Infinite Archive with a guildmate",Clear stages in the Infinite Archive with a guildmate to complete this endeavor.,
"Complete [2, 4, 6] stage(s) in the Infinite Archive with a partner",Clear stages in the Infinite Archive with another player or companion to complete this endeavor.,
"Complete [1, 2] Survey Report(s)",Complete Survey Reports by following them and harvesting their rich resources to complete this endeavor.,
"Complete [1, 2] Trial(s)",Gather your allies and complete Trials to complete this endeavor.,
Complete 1 Tribute Match,Face opponents in Tales of Tribute through the Activity Finder to complete this endeavor.,
Complete 1 Weekly Endeavor,Complete Weekly Endeavors to complete this endeavor.,
Complete Asylum Sanctorium 1 Time,"Gather your allies and complete the Asylum Sanctorium trial, located in Clockwork City to complete this endeavor..",
Complete Blackheart Haven 1 Time,"Clear the Blackheart Haven dungeon, located in Bangkorai to complete this endeavor.",
Complete Darkshade Caverns I 1 Time,"Clear the Darkshade Caverns I dungeon, located in Deshaan to complete this endeavor.",
Complete Graven Deep 1 Time,"Clear the Graven Deep dungeon, located on High Isle to complete this endeavor.",
Complete Halls of Fabrication 1 Time,"Gather your allies and complete the Halls of Fabrication trial, located in Vvardenfell to complete this endeavor.",
Complete Wayrest Sewers II 1 Time,"Clear the Wayrest Sewers II dungeon, located in Stormhaven to complete this endeavor.",
"Consume [1, 2, 3, 4] Drink(s)",Consume Drinks to complete this endeavor.,
