Item,Text
Research Notes
Azandar Research Note # 1,Must establish observational control once Key functional. Cannot be stuck observing fateline for Azandar the camel herder.
Azandar Research Note # 2,"References to other fateline methodologies proven frustrating. Fate shaping is impossible, nothing but dead ends."
Azandar Research Note # 3,Ensure mystic binding only applies to my fateline; safety in specificity when it comes to high arcanum.
Azandar Research Note # 4,"Research indicates potential for use of fatelines as power source. Immoral, repugnant, unseemly. But interesting."
Azandar Research Note # 5,"Send message to Martina after first successful test, Key may fuel social interaction with lessened awkwardness."
Azandar Research Note # 6,Dwemer tonal concepts as core influence suggests further Deep Elf techniques may be of utility to explore.
Azandar Research Note # 7,"Send a formal gloating treatise to Shad Astula after experiment success, or request a lecture series?"
Azandar Research Note # 8,Full incorporation of tonal architecture into Fateweaver structure proving challenging. More exploration and research required.
Azandar Research Note # 9,Months wasted exploring familial connection to fatelines; will be years before I can stomach my brother's cooking again.
Azandar Research Note # 10,"Worth attempting entry to Clockwork City, extra-Nirn structures could prove excellent touchpoint for Fateweaver structure."
Arcanist Notes
Azandar Arcanist Note # 1,"I find the Abyssal Sea meditative. Once you adjust to organelles thrumming across the length of your body, it's quite peaceful."
Azandar Arcanist Note # 2,"I simply don't understand the average mortal's aversion to tentacles. They seem incredibly useful, if nothing else!"
Azandar Arcanist Note # 3,"I have, by my count, perfected thirty eight different runeforms and counting. Onward and upward!"
Azandar Arcanist Note # 4,"My tome is playing a game of hide and seek. Vexing. Will have to check Wayrest Cathedral again, seems to be a favorite spot."
Azandar Arcanist Note # 5,I was awakened last night by Hermaeus Mora intoning pleas and threats from my tome. I threw it across the room and rolled over.
Azandar Arcanist Note # 6,"The Baron of the Breakers was in my dreams again last night, offering power. I asked for tea. He was not amused."
Azandar Arcanist Note # 7,"I summoned the Fate Crone, and we spoke at length. The ancient hag is a pleasant conversationalist, but not very forthcoming."
Azandar Arcanist Note # 8,"Encountered Daedric entity Blind Man in antihelix of the Wind. Marked corridor to avoid, knowledge not worth the danger."
Azandar Arcanist Note # 9,"My background studies into the rune knights of old resulted in little more than curious, open ended ephemera."
Azandar Arcanist Note # 10,Finally accepted the whispers and spent an evening meditating before the Colorless Pool. Burned notes after.
Scribbled Notes
Azandar Scribbled Notes #1,New leaf blend still needs something. Rolled oats may prove a textural and flavor compliment.
Azandar Scribbled Notes #2,Months since I last yanked Telenger's chain. Something with that Dwemer monstrosity in the Skywatch plaza? Worth exploring.
Azandar Scribbled Notes #3,"(each has a scribbled line through it) Coldharbour, Apocrypha, Evergloam, Colored Rooms, Deadlands, Spiral Skein"
Azandar Scribbled Notes #4,Need social interactions outside of research partners. Make Interaction Plan to encourage social connections.
Azandar Scribbled Notes #5,"Atronach name options: Piffle, Bartolo, Fribbish, Gubbins, Nukks, Pompom, Springle"
