Set,Weight,5 piece bonus
Elemental Succession,Light Armor,"Whenever you deal Flame, Shock, or Frost Damage, you gain 11-492 Spell Damage for that element for 4 seconds. This effect can occur every 4 seconds per element. Each effect can occur every 4 seconds, and multiple effects can be active at once."
Wild Impulse,Weapon,"Reduce the cost of Impulse by 10%. Impulse places lingering elemental damage on your targets, dealing 787 Flame, 787 Shock, and 787 Frost Damage over 8 seconds. Each element ticks once over the duration. The damage scales off the higher of your Weapon or Spell Damage."
Winterborn,Light Armor,"When you deal Frost Damage, you summon an ice pillar that deals 1393 Frost damage to all enemies in a 3 meter radius. The ice pillar persists for 2 seconds and reduces the Movement Speed of all enemies within the radius by 50%. This effect can occur once every 6 seconds and the damage scales off the higher of your Weapon or Spell Damage."
Whorl of the Depths (Perfected),Light Armor,"When you deal damage with a Light Attack, you apply Whorl of the Depths to the target, dealing 988 Frost damage over 8 seconds. When this effect ends, a 5 meter whirlpool is created under the target for 6 seconds and deals 743 Frost damage every 1 second. This effect can occur once every 18 seconds and scales off the higher of your Weapon and Spell Damage."
Wrath of Elements,Weapon,"Casting Weakness to Elements on a target within 15 meters of you causes a surge of elemental energy to tether between you for 10 seconds. While the tether persists, enemies touching the tether take 410 Flame Damage, 410 Shock Damage, or 410 Frost Damage every 1 second, which increases by 1% each time it deals damage, up to 20%. This effect can occur once every 10 seconds, and scales off the higher of your Weapon or Spell Damage."
Caluurion's Legacy,Light Armor,"When you deal direct Critical Damage with a single target attack, you launch a projectile at your target that deals 2674 Flame, 2674 Frost, 2674 Shock, or 2674 Disease damage and applies the respective status effect. This effect can occur once every 10 seconds and scales off the higher of your Weapon or Spell Damage."
Elemental Catalyst,Light Armor,"Whenever you deal Flame, Shock, or Frost Damage, you apply a stack of Flame, Shock, or Frost Weakness to the enemy for 3 seconds. Each stack of an Elemental Weakness increases their Critical Damage taken by 5%. An enemy can only have one stack of each Elemental Weakness at a time."
Frozen Watcher,Heavy Armor,"Summon a blizzard around you while blocking, inflicting 496 Frost Damage every 1 second to enemies within 6 meters. This effect scales off your Max Health. Your blizzard has a 15% chance of inflicting Chilled on enemies damaged."
Icy Conjurer,Light Armor,"Applying a minor debuff to your enemy summons a non-reflectable Ice Wraith that will charge into your enemy, dealing 3070 Frost Damage over 10 seconds. This effect can occur every 10 seconds and scales off the higher of your Weapon or Spell Damage."
The Ice Furnace,Heavy Armor,"When you deal Frost Damage, you deal an additional 309 Flame Damage to all enemies within 8 meters around the initial target. This effect can occur once every 1 second and scales off the higher of your Weapon or Spell Damage."
Iceheart,Any,"When you deal Critical Damage, you have a 20% chance to gain a damage shield that absorbs 116-5000 damage for 6 seconds. While the damage shield holds, you deal 337 Frost damage to all enemies within 5 meters of you every 1 second. This effect can occur once every 6 seconds and the damage scales off the higher of your Weapon or Spell Damage."
Frostbite,Light Armor,Increases your damage done with Frost abilities by 8%. Increases your damage done against Chilled enemies by 4%. Increases your damage done against enemies afflicted with Minor Brittle by 2%.
Ysgramor's Birthright,Light Armor,Adds 9-400 Spell Damage to your Frost Damage abilities.
Nunatak,Any,"On dealing Frost Damage, create a 6 meter area under the target for 6 seconds, dealing 191 Frost damage to enemies every 1 second and applying a 40% snare for 4 seconds. Enemies damaged four times become immobilized and afflicted with Major Brittle for 4 seconds, causing the target to take 20% increased Critical Damage. This effect can occur once every 15 seconds and scales off the higher of your Weapon and Spell Damage."
Glacial Guardian,Heavy,"When you Block, tether to the enemy if they are within 8 meters of you for 8 seconds. While tethered, you deal 261 Frost damage every second to enemies touching the tether and cause them to have a 200% increased Status Effect Chance. The tether breaks if the target moves more than 12 meters away. This effect can occur once every 12 seconds and the damage scales off your Max Health."
Hrothgar's Chill,Heavy,"Stunning or immobilizing your enemy causes them to burst with frost magic, applying the Chilled status effect and dealing 13% of their total Physical and Spell Resistance as Frost Damage to themselves and enemies within 8 meters of them. This effect can occur once every 7 seconds, ignores Spell Resistance, and cannot be blocked."
Systres' Scowl,Heavy,"When you Bash an enemy, place Systres' Scowl on them for 15 seconds. When hit by a Light Attack, a target with Systres' Scowl takes 45-1973 Frost Damage, up to once every second."
