Script,Effect,Price,Grimoires,Requirements
Anchorite's Cruelty,consume soul gem to deal oblivion damage,"First: 60,000; Later: 12,000","Wield Soul, Soul Burst",Sigil of the Luminary Dragon
Anchorite's Potency,consume soul gem to grant ultimate,"First: 60,000; Later: 12,000","Wield Soul, Soul Burst",Sigil of the Luminary Dragon
Assassin's Misery,improved use of status effects,"First: 60,000; Later: 12,000","Elemental Explosion, Traveling Knife, Trample",Sigil of the Luminary Dragon
Cavalier's Charge,increase to damage as ability persists,"First: 60,000; Later: 12,000","Banner Bearer, Trample",Sigil of the Luminary Dragon
Class Flourish,class signature enhancement,"First: achievement reward; Later: 5,000","Elemental Explosion, Mender's Bond, Shield Throw, Smash, Traveling Knife, Vault, Wield Soul, Soul Burst, Torchbearer, Ulfsild's Contingency, Banner Bearer, Trample",A Signature with Class
Crusader's Defiance,removal of debilitating effects,"First: 60,000; Later: 12,000","Mender's Bond, Smash, Vault, Soul Burst, Torchbearer, Banner Bearer",Sigil of the Luminary Dragon
Druid's Resurgence,resource restoration,free,"Elemental Explosion, Mender's Bond, Shield Throw, Smash, Vault, Wield Soul, Torchbearer, Banner Bearer",Found at the Wayrest Mages Guild
Fencer's Parry,deflection of next direct damage attack,"First: 60,000; Later: 12,000","Shield Throw, Smash, Traveling Knife",Sigil of the Luminary Dragon
Gladiator's Tenacity,damage reduction,"First: 60,000; Later: 12,000","Torchbearer, Ulfsild's Contingency",Sigil of the Luminary Dragon
Growing Impact,enhanced buff and debuff application,"First: 60,000; Later: 12,000",Ulfsild's Contingency,Sigil of the Luminary Dragon
Hunter's Snare,slowing,free,"Elemental Explosion, Mender's Bond, Traveling Knife, Vault, Soul Burst, Torchbearer, Ulfsild's Contingency, Trample",Found outside at the Mournhold Mages Guild
Immobilizing Strike,immobilization,"First: 60,000; Later: 12,000","Elemental Explosion, Smash, Trample",Sigil of the Luminary Dragon
Knight's Valor,improved use of bash or blocking,"First: 60,000; Later: 12,000","Mender's Bond, Shield Throw",Sigil of the Luminary Dragon
Leeching Thirst,heal for percentage of damage done,"First: 60,000; Later: 12,000","Smash, Traveling Knife",Sigil of the Luminary Dragon
Lingering Torment,damage over time,free,"Elemental Explosion, Shield Throw, Smash, Traveling Knife, Vault, Wield Soul, Soul Burst, Torchbearer, Ulfsild's Contingency, Trample",Earned for free during The Second Era of Scribing quest.
Sage's Remedy,healing over time,First: free; Later: 10,"Mender's Bond, Shield Throw, Smash, Vault, Wield Soul, Soul Burst, Ulfsild's Contingency, Banner Bearer",Reward for The Wing of the Indrik quest.
Thief's Swiftness,improvement to your mobility,"First: 60,000; Later: 12,000","Shield Throw, Vault, Banner Bearer, Trample",Sigil of the Luminary Dragon
Warmage's Defense,damage shield,"First: 60,000; Later: 12,000","Elemental Explosion, Mender's Bond, Traveling Knife, Banner Bearer",Sigil of the Luminary Dragon
Warrior's Opportunity,improve your next direct damage attack,free,"Traveling Knife, Torchbearer, Ulfsild's Contingency, Trample",Found at the Elden Root Mages Guild (beside the right ramp to the balcony)
Wayfarer's Mastery,improved functionality of skill line passives,"First: 60,000; Later: 12,000","Shield Throw, Smash, Traveling Knife, Vault, Banner Bearer, Trample",Sigil of the Luminary Dragon
