Auridon
Place,Boss/Quest,Set,Item Name,Description
Bewan,Camandar,Armor of the Veiled Heritance,Sea Greaves of the Veiled Heritance,"The Maormer raiders of Bewan used gear like this, all originally forged on their fog-choked home islands."
Lost Bet,Armor of the Veiled Heritance,Spellforged Buckle,Signs of magical craftsmanship are evident on this weighty belt.
Castle Rilis,Rightful Inheritance,Armor of the Veiled Heritance,Despot's Shoulderplates,"Forged at the height of Highlord Rilis the XII's reign, the sigil of that house is subtly worked into these shoulderplates."
The Jester's Joke,Armor of the Veiled Heritance,The Laughing Blade,"Dunmer daggers in this style purportedly contain secret compartments for poison, though no one has ever located any."
College of Aldmeri Propriety,Harsh Lesson,Armor of the Veiled Heritance,Thalmor Helm,"Standard issue to the Dominion soldiers who guard Thalmor diplomats, these helms are crafted to be as comfortable as possible."
Dawnbreak,Through the Ashes,Armor of the Veiled Heritance,Scampcrusher,This hammer saw heavy use in the fight for Dawnbreak.
Del's Claim,Polinus,Queen's Elegance,Veiled Executioner of the Twin Sisters,"Taken from the Heritance in Del's Claim, this massive axe bears the maker's mark of Mathiisen."
Repentant Son,Armor of the Veiled Heritance,Heritance Gauntlets,"Symbols of the Veiled Heritance, bitter opponents to Queen Ayrenn's rule, are hidden on the gauntlets' inner lining."
Entila's Folly,Bakhig,Twin Sisters,Elegant Bahkig's Purestaff,"Found amidst the webbing in Entila's Folly, this sturdy staff is lightly etched with simple runes."
Ezduiin,An Act of Kindness,Queen's Elegance,Micro-Etched Ring,The runes etched into this simple loop are almost too small to see. The steadiest of hands enchanted this item.
The Mallari-Mora,Queen's Elegance,Artificer's Bolt,The base of this staff bears the personal mark of Telenger the Artificer. The smell of rain accompanies it everywhere.
Firsthold,Sever All Ties,Queen's Elegance,Estre's Dreadstaff,Something about this staff exudes a terrible chill that settles deep into the bones.
Glister Vale,Depths of Madness,Queen's Elegance,Kilt of the Fractured Mind,"Faintly, as if from a far distance, you can hear the strained laughter of a delusional mind."
Greenwater Cove,Eye of the Ancients,Twin Sisters,Serpent-Rider Spaulders of the Twin Sisters,"Bearing the maker's mark of a Sea Elf leatherworker, this shoulder armor displays the scars of the fight for Greenwater Cove."
Heretic's Summons,Snapjaw,Armor of the Veiled Heritance,Snapjaw's Tooth of the Veiled Heritance,"In truth, only the core of this blade is made up of clannfear tooth, but it's more than enough to give the sword a vile taint."
Heritance Proving Ground,Anarume,Armor of the Veiled Heritance,Loyalist's Longbow of the Veiled Heritance,"The Veiled Heritance soldiers training on the shores of Auridon have imbued this longbow with icy, slow-flowing malice."
Maormer Invasion Camp,Unaccounted Crew,Twin Sisters,Sailor's Hatchet,Initials on the handle hint at ports visited by this blade's former owner.
Mathiisen,The Unveiling,Twin Sisters,Queen's Eye Leathers,"This carefully tooled leather chestpiece was made specially for the Eyes of the Queen, Ayrenn's hand-picked agents."
Mehrune's Spite,Mati,Twin Sisters,Spitescarred Leggings of the Twin Sisters,Taken from the Daedra at Mehrunes' Spite... it's better not to think about where the leather for these breeches came from.
Take Me Home,Queen's Elegance,Scamp Binder's Shoulders,The runes sewn into this mantle would be sufficient to frighten any of the lower orders of Daedra.
Nestmother's Den,The Nestmother,Queen's Elegance,Elegant Serpent's Flame,"The legends of fire-breathing snakes are just that, legends. Or so they say."
North Beacon,Eye Spy,Twin Sisters,Keeneye Belt,"The Eyes of the Queen use highly specialized gear. This belt, for example, has a small pouch secreted behind the buckle."
The Wayward Dagger,Queen's Elegance,War Mage's Cowl,"This cloth was hand-dyed in the far-off land of Glenumbra, and issued to a loyal member of the Covenant armed forces."
Ondil,Aluvus,Twin Sisters,Sea Serpent's Tooth of the Twin Sisters,The Maormer at Ondil used several pieces of gear crafted from the skin and teeth of their sacred sea serpents.
Phaer,The First Patient,Queen's Elegance,Plaguetender's Staff,This simple staff is stained from numerous alchemical substances.
Quendeluun,Preventative Measure,Twin Sisters,Riverwalker Boots,"These boots were fashioned from the hide of a kagouti, a creature from far-off Shadowfen."
The Veiled Choice,Armor of the Veiled Heritance,Patriot's Mace,This exquisite weapon is only given for exceptional service to the Aldmeri Dominion.
Seaaside Scarp Camp,Oskana and Quenyas,Twin Sisters,Sea-Raider's Hood of the Twin Sisters,"Opportunistic bandits, such as the ones at Seaside, have taken the Three Banners War as a call to arms."
Shattered Grove,A Village Awakened,Queen's Elegance,Binder's Robe,Sewn into the hem of this robe are numerous runes meant to ward and bind spirits and Daedra.
Silsailen,Teldur's End,Queen's Elegance,Traitor's Flame,This utilitarian staff is like the ones used by the warmages of the First Auridon Marines.
Skywatch,Final Blows,Queen's Elegance,Executioner's Gloves,"Though carefully cleaned, an odor of death still permeates these gloves."
Spirited Away,Twin Sisters,Mourner's Ring,"This simple loop is worn from where it was repeatedly twisted around tired, grieving fingers."
Soulfire Plateau,"Quendia, Norendo, and Eraman",Queen's Elegance,Elegant Deathcaller's Cowl,"Smelling vaguely of embalming fluid and cremation ash, this hood was a dear treasure on Soulfire Plateau."
South Beacon,The Serpent's Beacon,Twin Sisters,First Mate's Leathers,The fine etching on these leggings is typical of Maormer crafting techniques.
Tanzelwil,Corruption Stones,Queen's Elegance,Monastic Slippers,These simple slippers are worn by priests tending the ancient Aldmeri site of Tanzelwil.
Rites of the Queen,Twin Sisters,Eaglebanner Longbow,"Queen Ayrenn herself has tuned and tightened the bowstring on this weapon, ensuring every arrow flies straight and true."
The Veiled Keep,The Veil Falls,Armor of the Veiled Heritance,Queensguard Chestplate,"Metalsmiths from across the Summerset Isles collaborated to forge this chestpiece, a token of esteem directly from the Queen."
Torinaan,Blessings of the Eight,Twin Sisters,Divine-Touched Aegis,"Small sigils representing each of the Eight Divines, invisible to the naked eye, run along the inside face of this shield."
