Endeavor,Description
Craft > Twilight's Embrace [Item/Items],"Craft items from the Twilight's Embrace Item Set to complete this endeavor. You can find the relevant item set crafting locations in Deshaan, Grahtwood, or Stormhaven."
Craft > Vampire's Kiss [Item/Items],"Craft items from the Vampire's Kiss Item Set to complete this endeavor. You can find the relevant item set crafting location in Alik'r Desert, Eastmarch, or Malabal Tor."
Craft > Magnus' Gift [Item/Items],"Craft items from the Magnus' Gift Item Set to complete this activity. You can find the relevant item set crafting location in Greenshade, Rivenspire, or Shadowfen."
Craft > Torug's Pact [Item/Items],"Craft items from the Torug's Pact Item Set to complete this endeavor. You can find the relevant item set crafting location in Deshaan, Grahtwood, or Stormhaven."
Craft > Hist Bark [Item/Items],"Craft items from the Hist Bark Item Set to complete this endeavor. You can find the relevant item set crafting location in Greenshade, Rivenspire, or Shadowfen."
Craft > Kagrenac's Hope [Item/Items],Craft items from the Kagrenac's Hope Item Set to complete this endeavor. You can find the relevant item set crafting location in the Earth Forge.
Craft > Twice-Born Star [Item/Items],Craft items from the Twice-Born Star Item Set to complete this endeavor. You can find the relevant item set crafting location in Craglorn.
Craft > Noble's Conquest [Item/Items],Craft items from the Noble's Conquest Item Set to complete this endeavor. You can find the relevant item set crafting location in the Imperial City.
Craft > Tava's Favor [Item/Items],Craft items from the Tava's Favor Item Set to complete this endeavor. You can find the relevant item set crafting location in Hew's Bane.
Craft > Innate Axiom [Item/Items],Craft items from the Innate Axiom Item Set to complete this endeavor. You can find the relevant item set crafting location in Clockwork City.
Craft > Fortified Brass [Item/Items],Craft items from the Fortified Brass Item Set to complete this endeavor. You can find the relevant item set crafting location in Clockwork City.
Craft > Sload's Semblance [Item/Items],Craft items from the Sload's Semblance Item Set to complete this endeavor. You can find the relevant item set crafting location in Artaeum.
Craft > Naga Shaman [Item/Items],Craft items from the Naga Shaman Item Set to complete this endeavor. You can find the relevant item set crafting location in Murkmire.
Craft > Coldharbour's Favorite [Item/Items],Craft items from the Coldharbour's Favorite Item Set to complete this endeavor. You can find the relevant item set crafting location in Northern Elsweyr.
Craft > Daring Corsair [Item/Items],Craft items from the Daring Corsair Item Set to complete this endeavor. You can find the relevant item set crafting location in Southern Elsweyr.
Craft > Unchained Aggressor [Item/Items],Craft items from the Unchained Aggressor Item Set to complete this endeavor. You can find the relevant item set crafting location in Cyrodiil.
Craft > Dauntless Combatant [Item/Items],Craft items from the Dauntless Combatant Item Set to complete this endeavor. You can find the relevant item set crafting location in Cyrodiil.
Craft > Red Eagle's Fury [Item/Items],Craft items from the Red Eagle's Fury Item Set to complete this endeavor. You can find the relevant item set crafting location in The Reach.
Craft > Legacy of Karth [Item/Items],Craft items from the Legacy of Karth Item Set to complete this endeavor. You can find the relevant item set crafting location in The Reach.
Craft > Hist Whisperer [Item/Items],Craft items from the Hist Whisperer Item Set to complete this endeavor. You can find the relevant item set crafting location in Blackwood.
Kill > Public Dungeon [Boss/Bosses],Kill Public Dungeon bosses to complete this endeavor.
Complete > [Incursion/Incursions],Overcome Incursions and World Events throughout Tamriel to complete this endeavor.
