Activity,Description,Activity Reward
Scribe 1 Skill,"Skills can be Scribed at the Scribing Altar in the Scholarium beneath Eyevea. Complete the quest ""The Second Era of Scribing"" in order to gain access to the Scribing Altar.","File:ON-icon-misc-Coin Bag.png 50,000 Gold"
Claim 5 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.,"File:ON-icon-skill-Support-Barrier-Verdant Green.png Skill Style: Barrier, Verdant Green"
Claim 10 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.,File:ON-icon-store-Flame Atronach Crown Crate.png 2 Flame Atronach Crates
Complete 5 Quests,Complete quests throughout Tamriel.,File:ON-item-Luminous Ink.png 20 Luminous Ink
Complete 15 Quests,Complete quests throughout Tamriel.
Complete 20 Quests,Complete quests throughout Tamriel.
Claim Scribing from the Crown Store,Navigate to the Upgrades section of the Crown Store to claim access to Scribing.
Cast 10 Skills with active Skill Styles,Cast Skills with active Skill Styles.
Cast 50 Skills with active Skill Styles,Cast Skills with active Skill Styles.
Defeat 100 Enemies with Scribed Skills,Defeat Enemies with Scribed Skills.,File:ON-item-Luminous Ink.png 20 Luminous Ink
Defeat 300 Enemies with Scribed Skills,Defeat Enemies with Scribed Skills.
Kill 100 Foes with Class Skills,Finish off foes with class skills.
"Heal 250,000 Amount with Scribed Skills",Heal with Scribed Skills.
"Heal 400,000 Amount with Scribed Skills",Heal with Scribed Skills.
Harvest 25 Resources from the World,"Harvest crafting resources from plants, ore veins, or any other natural deposit."
Harvest 50 Resources from the World,"Harvest crafting resources from plants, ore veins, or any other natural deposit."
Complete 3 Guild Daily Quests,Complete any Guild Daily Quests.
Complete 10 Guild Daily Quests,Complete any Guild Daily Quests.
Acquire 3 Grimoires,"Grimoires can be purchased for gold from Chronicler Firandil in the Scholarium after completing the quest ""The Wing of the Indrik"". Some Grimoires may require specific Achievements before becoming available for purchase."
Acquire 10 Luminous Ink,"Depending on progress in the Scribing Questline you might see Luminous Ink rarely drop from enemies, harvesting crafting materials, looting heavy sacks, and looting treasure chests. See the Scribing Help section for more details."
"Complete the Quest ""The Second Era of Scribing""","""The Second Era of Scribing"" can be accepted from Adept Irnard Rirnil near the Mages Guild in Skingrad, or granted to yourself via the Crown Store."
"Complete the Scribing Quest ""The Wing of the Indrik""","""The Wing of the Indrik"" can be accepted by advancing through the Scribing questline, which can be granted from Adept Irnard Rirnil near the Mages Guild in Skingrad, or via the Crown Store."
"Complete the Scribing Quest ""The Wing of the Netch""","""The Wing of the Netch"" can be accepted by advancing through the Scribing questline, which can be granted from Adept Irnard Rirnil near the Mages Guild in Skingrad, or via the Crown Store."
"Complete the Scribing Quest ""The Wing of the Gryphon""","""The Wing of the Gryphon"" can be accepted by advancing through the Scribing questline, which can be granted from Adept Irnard Rirnil near the Mages Guild in Skingrad, or via the Crown Store."
"Complete the Scribing Quest ""The Wing of the Dragon""","""The Wing of the Dragon"" can be accepted by advancing through the Scribing questline, which can be granted from Adept Irnard Rirnil near the Mages Guild in Skingrad, or via the Crown Store."
"Complete the Scribing Quest ""The Wing of the Crow""","""The Wing of the Crow"" can be accepted by advancing through the Scribing questline, which can be granted from Adept Irnard Rirnil near the Mages Guild in Skingrad, or via the Crown Store."
