Greenshade
Place,Boss/Quest,Set,Item Name,Description
Barrow Trench,Overseer Basri,Shadow Dancer's Raiment,Basri's Blade of the Shadow Dancer,
The Unfilled Order,Beekeeper's Gear,Amulet of the Alchemist,"This necklace tingles a little when you hold it, as if it's been infused with alchemical power."
Bramblebreach,Audience with the Wilderking,Shadow Dancer's Raiment,Robes of the Wilder,The Wilderking granted you these robes for revealing the truth about the Veiled Heritance.
Handmade Guardian,Beekeeper's Gear,Guardians' Girdle,This girdle provides a sense of comfort and strength when you wear it around your waist.
Carac Dena,Urrumaz the Terrifying,Wilderqueen's Arch,Urramaz's Shoulders of the Wilderqueen,
Dread Vullain,Right of Theft,Wilderqueen's Arch,General Malgoth's War Harness,The marks on this worn harness prove it's been tested in battle.
Driladan Pass,Mourning the Lost,Shadow Dancer's Raiment,Shoulderpads of the Faithful,"For finding his lost betrothed, Laurosse presented you these lightweight shoulderpads."
Retaking the Pass,Beekeeper's Gear,Vinedusk Staff,Bodring gave you this burning staff after escaping the Shadow Wood.
Falinesti Cave,Beasts of Falinesti,Shadow Dancer's Raiment,Pariel's Torn Hood,"This hood is damaged by a long tear on one side, perhaps left there by Pariel herself."
Falinesti Spring Site,Hunting the Mammoth,Wilderqueen's Arch,Mammoth Hunter's Mantle,"The weight of this mantle is surprising at first, but soon its warmth provides a sense of strength."
Swift Justice,Wilderqueen's Arch,Hammer of Swift Justice,Sometimes justice is a swift blow to the head.
The Falinesti Faithful,Beekeeper's Gear,Bloody War Boots,"Stained up to the ankles, these boots have seen more than their share of battle."
Gathongor's Mire,Gathongor the Mauler,Shadow Dancer's Raiment,Croc Hunter's Axe of the Shadow Dancer,
Greenheart,Hunting the Wasp,Wilderqueen's Arch,Tracker's Chausses,A little bit of giant wasp ichor still stains this armor. Consider it a badge of honor.
Throne of the Wilderking,Shadow Dancer's Raiment,Ashenblade,Veiled Heritance Champion Andur once used this weapon during the fight to protect the Court of the Wilderking.
Gurzag's Mine,Forthor's Cursed Axe,Beekeeper's Gear,Redeemed Hand Axe,"Now that its curse has been removed, this axe is safe to use."
Retribution,Shadow Dancer's Raiment,Retribution's Cowl of the Shadow Dancer,
Harridan's Lair,Razorclaw,Beekeeper's Gear,Beasthunter's Pauldrons of the Beekeeper,
Hectahame,Striking at the Heart,Beekeeper's Gear,Defender of the Valenheart,This massive axe was awarded after defeating the Shade of Prince Naemon and helping Indaenir heal the Valenheart.
The Senche,Wilderqueen's Arch,Master Tracker's Bow,"After hunting the white senche, tracking other prey with this bow in hand should be easy."
Labyrinth,A Tangled Knot,Shadow Dancer's Raiment,Staff of Memory,Holding this staff reminds you of Sumiril's story. Your mind feels keener.
Longhaven,Deadly Ambition,Shadow Dancer's Raiment,Ring of Ambition,An air of reckless pursuit emanates from this ring. It makes you feel invincible.
Mist and Shadow,Wilderqueen's Arch,Longhaven Brigandine,This thick armor seems to have been designed specifically to deter a vampire's bite.
Maormer Camp,"Hetsha, Jahlasri and Neiral",Beekeeper's Gear,Jahla's Shield of the Beekeeper,
Marbruk,The Artisan,Wilderqueen's Arch,Enforcer's Vambraces,"After unmasking the Artisan and returning the stolen items, Cinnar presented you this armor."
Troublemakers,Wilderqueen's Arch,Rathide Boots,Adamir rewarded your grisly assistance reanimating dead rats with these oddly stylish boots.
Moonhenge,Moonhenge's Tear,Beekeeper's Gear,Moonhenge Chausses,Sergeant Galandir presented these chausses to you for closing the Daedric portals to Moonhenge.
Naril Nagaia,Archmage Camaano,Beekeeper's Gear,Archmage 's Mace of the Beekeeper,
The Misuses of Knowledge,Beekeeper's Gear,Mage's Regret,Mercano's old dagger practically oozes with regret. What did he use it for?
Pelda Tarn,Zymel Etitan,Beekeeper's Gear,Storm Staff of the Beekeeper,
Reconnaissance Camp,"Maheelius, Navlos and Smiles-With-Knife",Wilderqueen's Arch,Maheelius' Hunting Vest of the Wilderqueen,
Scaled Captors,Beekeeper's Gear,Lizardhide Shield,"Though this shield is sturdy, it's better not to bring it out when Argonians are present."
Rootwatch Tower,The Amronal of Valenwood,Wilderqueen's Arch,Hunter's Skullcap,"For hunting down the wispmother that killed her friends, Elaldor presented you this cap."
