Buff Name,Type,Description,Sources,Icon
Aegis [ edit ],Minor,"Take 5% less damage from Dungeon, Trial and Arena Monsters.",Sets,"Aegis of Galenwe , Automated Defense , Claw of Yolnahkriin , Eternal Warrior , Eye of Nahviintaas , Inventor's Guard , Kyne's Wind , Lucent Echoes , Lunar Bastion , Oakensoul Ring , Pearlescent Ward , Pillager's Profit , Saxhleel Champion , Stone-Talker's Oath , Test of Resolve , Transformative Hope , Twilight Remedy , Vestment of Olorime , Vrol's Command , Xoryn's Masterpiece",
Major,"Take 10% less damage from Dungeon, Trial and Arena Monsters.",Sets,"Automated Defense , Inventor's Guard , Ironblood , Test of Resolve , Vrol's Command",
Berserk [ edit ],Minor,Increases all damage done by 5%.,Abilities,"Ambush , Bird of Prey , Camouflaged Hunter , Combat Prayer , Dark Exchange , Spear Wall",
Sets,"Kinras's Wrath , Oakensoul Ring , Slimecraw , Stone's Accord"
Scribing,"Berserk on Banner Bearer , Smash , Traveling Knife , Vault"
Major,Increases all damage done by 10%.,Abilities,"Chains of Devastation , Lead From the Front , Reaper's Mark , Summon Storm Atronach , Werewolf Berserker , Wrecking Blow",
Sets,"Heem-Jas' Retribution , Kinras's Wrath , The Saint and the Seducer , Sea-Serpent's Coil , Tharriker's Strike , Unchained Aggressor"
Brutality [ edit ],Minor,Increases weapon damage by 10%.,Abilities,Elder Dragon,
Potions,Increase Weapon Power Poison
Major,Increases weapon damage by 20%.,Abilities,"Betty Netch , Biting Jabs , Degeneration , Drain Power , Hidden Blade , Hircine's Bounty , Molten Weapons , Momentum , Skeletal Mage , Surge , Pariah's Resolve , Tome-Bearer's Inspiration , Venom Arrow",
Sets,"Dreugh King Slayer , Oakensoul Ring , Rattlecage"
Scribing,"Brutality and Sorcery on Banner Bearer , Elemental Explosion , Smash , Soul Burst , Torchbearer , Trample , Traveling Knife , Ulfsild's Contingency , Vault , Wield Soul"
Potions,Increase Weapon Power Potion
Courage [ edit ],Minor,Increase your Weapon and Spell Damage by 215,Abilities,"Arcanist's Domain , Blood of the Elder Dragon , Power Extraction , Pack Leader",
Sets,"Claw of Yolnahkriin , Crusader , Magma Incarnate , Oakensoul Ring , Pangrit Denmother , Phoenix Moth Theurge"
Scribing,"Courage on Banner Bearer , Mender's Bond , Soul Burst"
Major,Increase your Weapon and Spell Damage by 430,Abilities,Ferocious Roar,
Sets,"Nix-Hound's Howl , The Saint and the Seducer , Sea-Serpent's Coil , Spell Power Cure , Vestment of Olorime"
Empower [ edit ],-,Increases damage against monsters with Heavy Attacks by 150%.,Abilities,"Ambush , Empowering Grasp , Might of the Guild , Molten Armaments , Solar Flare , Wrecking Blow",
Sets,"Aegis of Galenwe , Grisly Gourmet , Might of the Lost Legion , Oakensoul Ring , Queen's Elegance , Rage of the Ursauk"
Scribing,"Empower on Mender's Bond , Wield Soul"
Endurance [ edit ],Minor,Increases stamina recovery by 15%.,Abilities,"Arcanist's Domain , Circle of Protection , Enchanted Growth , Momentum , Refreshing Path , Regenerative Ward , Restoring Aura",
Sets,Oakensoul Ring
Scribing,"Intellect and Endurance on Banner Bearer , Mender's Bond , Soul Burst , Ulfsild's Contingency , Vault"
Major,Increases stamina recovery by 30%.,Abilities,"Blood of the Green Dragon , Pariah's Resolve",
Sets,Apocryphal Inspiration
Scribing,Intellect and Endurance on Wield Soul
Potions,Restore Stamina Potion
Evasion [ edit ],Minor,Reduces damage from area attacks by 10%.,Abilities,"Circumvented Fate , Deceptive Predator",
Sets,Abyssal Brace
Scribing,"Evasion on Mender's Bond , Torchbearer"
Major,Reduces damage from area attacks by 20%.,Abilities,"Blade Cloak , Blur , Chains of Devastation , Deafening Roar , Elusive Mist , Evasion",
Sets,"Gossamer , Grace of Gloom , Hist Bark , Leki's Focus , The Saint and the Seducer , Spectre's Eye"
Scribing,"Evasion on Shield Throw , Vault"
Expedition [ edit ],Minor,Increases movement speed by 15%.,Abilities,"Charging Maneuver , Concealed Weapon , Hasty Prayer , Hurricane , Quick Siphon",
Sets,"Gryphon's Ferocity , Jailbreaker"
Scribing,"Expedition on Smash , Soul Burst , Traveling Knife , Vault"
Major,Increases movement speed by 30%.,Abilities,"Accelerate , Boundless Storm , Elude , Elusive Mist , Falcon's Swiftness , Fleet-Footed Gate , Frozen Retreat , Hasty Retreat , Padomaic Sprint , Pariah's Resolve , Path of Darkness , Quick Cloak , Rapid Maneuver , Wing Buffet",
Sets,"Adept Rider , Coward's Gear , Daedric Trickery , Dreugh King Slayer , False God's Devotion , Quick Serpent , Skooma Smuggler , Vicious Serpent"
Scribing,Expedition on Trample
Potions,Speed Potion or Poison
