Grahtwood
Place,Boss/Quest,Set,Item Name,Description
Bone Orchard,Keeper of Bones,Ranger's Gait,Barrowbough's Cage,The small bones sewn into this armor strengthen it greatly. This does not restrict the movement of the wearer's arms.
Brackenleaf,Bosmer Insight,Ranger's Gait,Brackenleaf's Bough,This bow is as light as it is deadly. It was made from wood freely given by Brackenleaf himself.
Burroot Kwama Mine,Stormhead the Ravenous,Ranger's Gait,Belt of Vaulting of the Ranger,This belt feels lighter than it looks.
Caring for Kwama,Ranger's Gait,Kwama Goad,"This strange hammer has a peculiar, earthy scent. When wielded below ground, its bearer constantly salivates."
Cave of Broken Sails,Luck of the Albatross,Syrabane's Grip,Bloodshark's Cutlass,Brauti Bloodshark's cutlass is razor sharp. Several splotchy stains mar the blade itself.
Cormount,The Blacksap's Hold,Ranger's Gait,Vinedusk Pauldrons,These pauldrons change color in the light. The iridescent gleam is reminiscent of a magical portal.
Elden Root Temple,Until Death,Syrabane's Grip,Scented Leathers,This distinctive but not unpleasant odor permeating this armor is said to repel fleshflies.
Elden Root,Rare Imports,Syrabane's Grip,Alyxe's Rancid Pants,Whatever is caked into the material will require powerful magic to remove.
The Great Tree,Syrabane's Grip,King Camoran's Boon,This garment is slippery to the touch. It appears to be a Khajiiti gift of state re-gifted to you by King Camoran Aeradan.
The Honor of the Queen,Green Pact,Ear of the Queen,"There is a tiny etching of an ear on the back of this amulet. In dim light, the etching glows faintly."
Falinesti Winter Site,A Lasting Winter,Green Pact,Jade General's Helm,This helm once belonged to General Endare. It bears the markings of a decorated Dominion general.
Gil-Var-Delle,The Wakening Dark,Green Pact,Scourer's Scale,Daedric script lines the inside of the shield. The acrid smell reminds you of the prison bars in Coldharbour.
The Wounded Wood,Syrabane's Grip,Nereid's Slippers,These slippers vibrate softly when near sources of running water.
Goldfolly,Blood Hunt,Green Pact,Blood Groove,This axe has dozens of tiny notches along the haft. A pair of fangs are fastened tightly to the grip.
Phantom Guilt,Green Pact,Cathartic Band,This ring is simple in its design. The wearer feels a distinct sense of calm and acceptance.
Haven,A Little on the Side,Syrabane's Grip,Quartermaster's Secret,This belt is warm to the touch. A secret compartment within appears large enough to hold three small vials.
Unsafe Haven,Ranger's Gait,Jackdaw's Galoshes,These fine boots are much lighter than they appear. They keep the wearer's feet completely dry.
Hircine's Henge,Gurgozu and Shagura,Ranger's Gait,Shagura's Staff of the Ranger,This staff is warm to the touch.
Karthdar,Pact Advocate,Green Pact,Pactbreaker,This axe's blade never dulls. Karthdar's citizens provided it to symbolically purge their town of items that offend the Green.
Lady Solace's Fen,Lady Solace,Syrabane's Grip,Unfortunate Wanderer's Boots of Syrabane,These boots smell of mildew and death.
Laeloria,Eyes of Azura,Syrabane's Grip,Culanwe's Will,"This staff is quite ancient. While holding it, you can hear incredibly faint but indescribably beautiful singing."
Mobar Mine,Sgolag,Syrabane's Grip,Charging Chestpiece of Syrabane,This shirt crackles when you touch it.
Wanted: Sgolag,Syrabane's Grip,Whispering Gloves,"When clapped together, the sound made by these gloves is no louder than a whisper."
Ne Salas,Lieutenant Khari,Green Pact,Time Buckler of the Green Pact,This shield shimmers with faint purple light.
