Stormhaven
Place,Boss/Quest,Set,Item Name,Description
Abandoned Farm,Gar Xuu Gar,Night Terror,Gar Xuu Gar's Axe of Night Terror,
Alcaire Castle,The Safety of the Kingdom,Storm Knight's Plate,Alcaire Banneret's Helm,Given to you by the recently widowed Duke Nathaniel for your loyalty to Alcaire Castle in a time of great uncertainty.
Army at the Gates,Storm Knight's Plate,Sir Hughes' Axe,Sir Hughes awarded one of his personal weapons for your discretion in investigating the meaning of Almandine.
Ancient Altar,Zymel Kruz,Storm Knight's Plate,Summoner's Cops of the Storm Night,
Aphren's Hold,King Aphren's Sword,Night Terror,King Aphren's Seal,"Worn by King Aphren in life, this unusually heavy ring was given to you for reforging his legendary sword within Aphren's Hold."
at-Tura Estate,Saving Hosni,Dreamer's Mantle,Midnight Union Ailettes,"Smuggled by the Midnight Union, this shoulder armor was a gift from Hosni at-Tura for saving him from the influence of his betrothed, Lady Adima."
Bearclaw Mine,Octavia,Dreamer's Mantle,Dreamer's Bear-Hide Moccasins,
Cumberland's Watch,Blood Revenge,Night Terror,Goblin-Slayer's Coif,Watch Captain Rama awarded this helm as thanks for enacting revenge on the Stone-Chewer Goblins who killed his men.
A Means to an End,Night Terror,Stonechewer Maul,Watch Captain Ernard awarded this Goblin-made weapon as thanks for removing the Stonechewer Goblin totem from Cumberland's Watch.
Revenge Against Rama,Night Terror,Ebony-Inlaid Longbow,"You earned this bow by dispensing justice to Watch Captain Rama, whose hatred of Goblins caused the deaths of many."
Dreughside,The Sower Reaps,Storm Knight's Plate,Baron Sorick's Pauldrons,These pauldrons were a gift to the hero who exposed Baron Sorick's nefarious plot in Dreughside.
Dreugh Waters,Brood Queen,Dreamer's Mantle,Dreamer's Driftwood Staff,
Dro-Dara Plantation,Old Adventurers,Dreamer's Mantle,Hardy Quilted Aketon,Dro-Dara awarded these handcrafted robes as thanks for rescuing his retired adventuring party from the bandits looting his plantation.
A Predator's Heart,Night Terror,Murk-Watcher's Greaves,Dro-Dara gifted you these greaves for helping his good friend Murk-Watcher seek revenge. Crocodiles don't need greaves.
Farangel's Delve,Dimitri,Night Terror,Dimitr's Leathers of Night Terror,
Farangel's Landing,A Woman Wronged,Dreamer's Mantle,Recondite Sash,This sash once belonged to Miranda Arcole. You earned it by uncovering her husband's plot to kill her and take her family's treasure.
Firebrand Keep,Retaking Firebrand Keep,Night Terror,Flamecrest Hammer,"For defeating Sir Croix and sounding the siege horns to retake Firebrand Keep, Sir Edmund awarded a weapon befitting the Knights of the Flame."
